Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,28,23429.75,23422.25,8/20/2025 9:59:00 AM,8/20/2025 9:59:00 AM,VWAP3_Bounce,StopLoss,($468.72),($468.72),$48.72,$0.00,$0.00,$0.00,$0.00,$420.00,$0.00,$468.72,1,
2,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23694.50,8/29/2025 10:18:00 AM,8/29/2025 10:19:00 AM,VWAP2_Bounce,TakeProfit1,$26.26,($442.46),$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$118.74,2,
3,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23694.50,8/29/2025 10:18:00 AM,8/29/2025 10:20:00 AM,VWAP2_Bounce,TakeProfit1,$26.26,($416.20),$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$118.74,3,
4,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23697.50,8/29/2025 10:18:00 AM,8/29/2025 10:21:00 AM,VWAP2_Bounce,TakeProfit1,$32.26,($383.94),$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$112.74,4,
5,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23706.75,8/29/2025 10:18:00 AM,8/29/2025 10:21:00 AM,VWAP2_Bounce,TakeProfit2,$50.76,($333.18),$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$94.24,4,
6,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23708.50,8/29/2025 10:18:00 AM,8/29/2025 10:21:00 AM,VWAP2_Bounce,TakeProfit3,$54.26,($278.92),$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$90.74,4,
7,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23715.75,8/29/2025 10:18:00 AM,8/29/2025 10:21:00 AM,VWAP2_Bounce,TakeProfit4,$68.76,($210.16),$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$76.24,4,
8,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23716.50,8/29/2025 10:18:00 AM,8/29/2025 10:22:00 AM,VWAP2_Bounce,TakeProfit1,$70.26,($139.90),$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$74.74,5,
9,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23716.50,8/29/2025 10:18:00 AM,8/29/2025 10:22:00 AM,VWAP2_Bounce,TakeProfit2,$70.26,($69.64),$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$74.74,5,
10,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23716.50,8/29/2025 10:18:00 AM,8/29/2025 10:22:00 AM,VWAP2_Bounce,TakeProfit3,$70.26,$0.62,$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$74.74,5,
11,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23716.50,8/29/2025 10:18:00 AM,8/29/2025 10:22:00 AM,VWAP2_Bounce,TakeProfit4,$70.26,$70.88,$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$74.74,5,
12,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23711.00,8/29/2025 10:18:00 AM,8/29/2025 10:23:00 AM,VWAP2_Bounce,TakeProfit1,$59.26,$130.14,$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$85.74,6,
13,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23711.00,8/29/2025 10:18:00 AM,8/29/2025 10:23:00 AM,VWAP2_Bounce,TakeProfit2,$59.26,$189.40,$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$85.74,6,
14,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23711.00,8/29/2025 10:18:00 AM,8/29/2025 10:23:00 AM,VWAP2_Bounce,TakeProfit3,$59.26,$248.66,$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$85.74,6,
15,MNQ DEC25,Backtest,FluxTrade_AverageBounce,Long,1,23680.50,23716.00,8/29/2025 10:18:00 AM,8/29/2025 10:23:00 AM,VWAP2_Bounce,TakeProfit4,$69.26,$317.92,$1.74,$0.00,$0.00,$0.00,$0.00,$15.00,$145.00,$75.74,6,
