Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Long,40,107505,107355,6/23/2025 10:19:41 AM,6/23/2025 10:24:13 AM,TPLong,Stop loss,($728.00),($728.00),$128.00,$0.00,$0.00,$0.00,$0.00,$600.00,$200.00,$928.00,2,
2,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Long,40,122850,122700,7/15/2025 10:05:10 AM,7/15/2025 10:29:09 AM,TPLong,Stop loss,($728.00),($1456.00),$128.00,$0.00,$0.00,$0.00,$0.00,$600.00,$1900.00,$2628.00,6,
3,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Long,40,123000,124000,7/17/2025 10:26:52 AM,7/17/2025 02:20:06 PM,TPLong,Profit target,$3872.00,$2416.00,$128.00,$0.00,$0.00,$0.00,$0.00,$80.00,$4000.00,$128.00,21,
4,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Short,40,123040,122040,7/18/2025 10:23:00 AM,7/18/2025 10:43:45 AM,TPShort,Profit target,$3872.00,$6288.00,$128.00,$0.00,$0.00,$0.00,$0.00,$20.00,$4000.00,$128.00,7,
5,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Long,40,122240,122940,7/18/2025 10:50:23 AM,7/18/2025 11:09:59 AM,MRLong,Profit target,$2672.00,$8960.00,$128.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2800.00,$128.00,2,
6,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Short,40,122310,121310,7/29/2025 10:56:31 AM,7/29/2025 12:41:18 PM,TPShort,Profit target,$3872.00,$12832.00,$128.00,$0.00,$0.00,$0.00,$0.00,$500.00,$4000.00,$128.00,15,
7,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Long,40,122265,123265,7/30/2025 10:50:52 AM,7/30/2025 11:02:08 AM,TPLong,Profit target,$3872.00,$16704.00,$128.00,$0.00,$0.00,$0.00,$0.00,$40.00,$4000.00,$128.00,5,
8,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Long,40,123070,124070,8/12/2025 11:05:24 AM,8/12/2025 12:16:14 PM,TPLong,Profit target,$3872.00,$20576.00,$128.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4000.00,$128.00,7,
9,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Short,40,118445,117445,8/19/2025 10:21:13 AM,8/19/2025 10:52:06 AM,TPShort,Profit target,$3872.00,$24448.00,$128.00,$0.00,$0.00,$0.00,$0.00,$260.00,$4000.00,$128.00,9,
10,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Short,40,111590,111740,8/29/2025 10:27:02 AM,8/29/2025 10:42:24 AM,TPShort,Stop loss,($728.00),$23720.00,$128.00,$0.00,$0.00,$0.00,$0.00,$600.00,$300.00,$1028.00,2,
11,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Long,40,115680,115530,9/23/2025 10:14:39 AM,9/23/2025 10:35:35 AM,TPLong,Stop loss,($728.00),$22992.00,$128.00,$0.00,$0.00,$0.00,$0.00,$600.00,$1020.00,$1748.00,2,
12,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Long,40,115660,116165,9/24/2025 10:48:07 AM,9/24/2025 04:59:41 PM,TPLong,Exit on session close,$1892.00,$24884.00,$128.00,$0.00,$0.00,$0.00,$0.00,$160.00,$3780.00,$1888.00,16,
13,MBT JAN26,Backtest,FluxTrade_BitcoinRocket,Short,40,111675,110975,9/26/2025 10:20:06 AM,9/26/2025 11:04:07 AM,MRShort,Profit target,$2672.00,$27556.00,$128.00,$0.00,$0.00,$0.00,$0.00,$240.00,$2800.00,$128.00,10,
