Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21533.00,21526.75,1/10/2025 10:00:00 AM,1/10/2025 10:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),($99.68),$12.18,$87.50,$0.00,$99.68,1,
2,MES SEP25,Backtest,CointegratedPairs,Short,7,6007.25,6013.50,1/10/2025 10:00:00 AM,1/10/2025 10:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),($330.61),$12.18,$218.75,$0.00,$230.93,1,
3,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21470.00,21463.75,1/10/2025 11:00:00 AM,1/10/2025 11:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),($430.29),$12.18,$87.50,$0.00,$99.68,1,
4,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21405.00,21398.75,1/10/2025 12:00:00 PM,1/10/2025 12:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),($529.97),$12.18,$87.50,$0.00,$99.68,1,
5,MES SEP25,Backtest,CointegratedPairs,Short,7,5994.50,5975.75,1/10/2025 11:00:00 AM,1/10/2025 12:00:00 PM,MES SEP25 Initial,Partial Exit Short MES SEP25,$644.07,$114.10,$12.18,$105.00,$1347.50,$703.43,2,
6,MNQ SEP25,Backtest,CointegratedPairs,Short,7,21697.25,21703.50,1/15/2025 10:00:00 AM,1/15/2025 10:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),$14.42,$12.18,$87.50,$0.00,$99.68,1,
7,MES SEP25,Backtest,CointegratedPairs,Long,7,6074.75,6068.50,1/15/2025 10:00:00 AM,1/15/2025 10:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),($216.51),$12.18,$218.75,$0.00,$230.93,1,
8,MNQ SEP25,Backtest,CointegratedPairs,Short,7,21743.75,21750.00,1/15/2025 11:00:00 AM,1/15/2025 11:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),($316.19),$12.18,$87.50,$0.00,$99.68,1,
9,MES SEP25,Backtest,CointegratedPairs,Long,7,6085.25,6079.00,1/15/2025 11:00:00 AM,1/15/2025 11:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),($547.12),$12.18,$218.75,$0.00,$230.93,1,
10,MNQ SEP25,Backtest,CointegratedPairs,Long,7,22081.75,22075.50,1/26/2025 8:00:00 PM,1/26/2025 8:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),($646.80),$12.18,$87.50,$0.00,$99.68,1,
11,MNQ SEP25,Backtest,CointegratedPairs,Long,7,22000.25,21994.00,1/26/2025 9:00:00 PM,1/26/2025 9:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),($746.48),$12.18,$87.50,$0.00,$99.68,1,
12,MES SEP25,Backtest,CointegratedPairs,Short,7,6207.50,6189.25,1/26/2025 8:00:00 PM,1/26/2025 9:00:00 PM,MES SEP25 Initial,Partial Exit Short MES SEP25,$626.57,($119.91),$12.18,$26.25,$708.75,$82.18,2,
13,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21529.25,21523.00,2/2/2025 8:00:00 PM,2/2/2025 8:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),($219.59),$12.18,$87.50,$0.00,$99.68,1,
14,MES SEP25,Backtest,CointegratedPairs,Short,7,6072.00,6078.25,2/2/2025 8:00:00 PM,2/2/2025 8:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),($450.52),$12.18,$218.75,$0.00,$230.93,1,
