Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTrade_DailySweep,Long,25,25934.00,25926.50,11/4/2025 02:10:00 PM,11/4/2025 02:10:00 PM,SwingRejectionLong,Stop loss,($422.50),($422.50),$47.50,$0.00,$0.00,$0.00,$0.00,$375.00,$0.00,$422.50,1,
2,MNQ MAR26,Backtest,FluxTrade_DailySweep,Long,25,25651.00,25666.00,11/6/2025 03:15:00 PM,11/6/2025 03:15:00 PM,SwingRejectionLong,Profit target,$702.50,$280.00,$47.50,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$47.50,1,
3,MNQ MAR26,Backtest,FluxTrade_DailySweep,Short,25,24497.25,24482.25,11/21/2025 09:20:00 AM,11/21/2025 09:20:00 AM,SwingRejectionShort,Profit target,$702.50,$982.50,$47.50,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$47.50,1,
4,MNQ MAR26,Backtest,FluxTrade_DailySweep,Short,25,25546.25,25553.75,11/26/2025 11:20:00 AM,11/26/2025 11:20:00 AM,SwingRejectionShort,Stop loss,($422.50),$560.00,$47.50,$0.00,$0.00,$0.00,$0.00,$375.00,$0.00,$422.50,1,
5,MNQ MAR26,Backtest,FluxTrade_DailySweep,Short,25,25664.50,25649.50,12/1/2025 11:10:00 AM,12/1/2025 11:10:00 AM,SwingRejectionShort,Profit target,$702.50,$1262.50,$47.50,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$47.50,1,
6,MNQ MAR26,Backtest,FluxTrade_DailySweep,Long,25,25885.50,25878.00,12/4/2025 12:20:00 PM,12/4/2025 12:20:00 PM,SwingRejectionLong,Stop loss,($422.50),$840.00,$47.50,$0.00,$0.00,$0.00,$0.00,$375.00,$0.00,$422.50,1,
7,MNQ MAR26,Backtest,FluxTrade_DailySweep,Short,25,25901.75,25909.25,12/5/2025 09:25:00 AM,12/5/2025 09:25:00 AM,SwingRejectionShort,Stop loss,($422.50),$417.50,$47.50,$0.00,$0.00,$0.00,$0.00,$375.00,$0.00,$422.50,1,
8,MNQ MAR26,Backtest,FluxTrade_DailySweep,Short,25,25951.50,25936.50,12/5/2025 11:35:00 AM,12/5/2025 11:35:00 AM,SwingRejectionShort,Profit target,$702.50,$1120.00,$47.50,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$47.50,1,
9,MNQ MAR26,Backtest,FluxTrade_DailySweep,Short,25,25995.25,25980.25,12/10/2025 03:15:00 AM,12/10/2025 03:35:00 AM,SwingRejectionShort,Profit target,$702.50,$1822.50,$47.50,$0.00,$0.00,$0.00,$0.00,$212.50,$750.00,$47.50,5,
10,MNQ MAR26,Backtest,FluxTrade_DailySweep,Short,25,25534.25,25541.75,12/19/2025 11:30:00 AM,12/19/2025 11:30:00 AM,SwingRejectionShort,Stop loss,($422.50),$1400.00,$47.50,$0.00,$0.00,$0.00,$0.00,$375.00,$0.00,$422.50,1,
11,MNQ MAR26,Backtest,FluxTrade_DailySweep,Long,25,25856.00,25871.00,12/26/2025 12:25:00 PM,12/26/2025 12:30:00 PM,SwingRejectionLong,Profit target,$702.50,$2102.50,$47.50,$0.00,$0.00,$0.00,$0.00,$362.50,$750.00,$47.50,2,
12,MNQ MAR26,Backtest,FluxTrade_DailySweep,Long,25,25758.25,25773.25,12/30/2025 11:20:00 AM,12/30/2025 11:25:00 AM,SwingRejectionLong,Profit target,$702.50,$2805.00,$47.50,$0.00,$0.00,$0.00,$0.00,$37.50,$750.00,$47.50,2,
13,MNQ MAR26,Backtest,FluxTrade_DailySweep,Long,25,25587.00,25602.00,12/31/2025 12:35:00 PM,12/31/2025 12:40:00 PM,SwingRejectionLong,Profit target,$702.50,$3507.50,$47.50,$0.00,$0.00,$0.00,$0.00,$150.00,$750.00,$47.50,2,
14,MNQ MAR26,Backtest,FluxTrade_DailySweep,Short,25,25694.25,25679.25,1/2/2026 09:15:00 AM,1/2/2026 09:15:00 AM,SwingRejectionShort,Profit target,$702.50,$4210.00,$47.50,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$47.50,1,
15,MNQ MAR26,Backtest,FluxTrade_DailySweep,Long,25,25755.00,25770.00,1/8/2026 03:10:00 AM,1/8/2026 03:15:00 AM,SwingRejectionLong,Profit target,$702.50,$4912.50,$47.50,$0.00,$0.00,$0.00,$0.00,$62.50,$750.00,$47.50,2,
16,MNQ MAR26,Backtest,FluxTrade_DailySweep,Long,25,25650.50,25643.00,1/8/2026 12:10:00 PM,1/8/2026 12:10:00 PM,SwingRejectionLong,Stop loss,($422.50),$4490.00,$47.50,$0.00,$0.00,$0.00,$0.00,$375.00,$0.00,$422.50,1,
