Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25313.50,25306.00,11/17/2025 09:02:00 AM,11/17/2025 09:02:00 AM,BullishExhaustion,Stop loss,($338.00),($338.00),$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$338.00,1,
2,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25789.50,25804.50,12/3/2025 11:59:00 AM,12/3/2025 11:59:00 AM,BullishExhaustion,Profit target,$562.00,$224.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$600.00,$38.00,1,
3,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25851.75,25866.75,12/4/2025 03:56:00 PM,12/4/2025 04:00:00 PM,BullishExhaustion,Profit target,$562.00,$786.00,$38.00,$0.00,$0.00,$0.00,$0.00,$130.00,$600.00,$38.00,5,
4,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,26045.50,26060.50,12/8/2025 12:55:00 AM,12/8/2025 01:16:00 AM,BullishAbsorption,Profit target,$562.00,$1348.00,$38.00,$0.00,$0.00,$0.00,$0.00,$280.00,$600.00,$38.00,22,
5,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25854.25,25869.25,12/10/2025 01:28:00 PM,12/10/2025 01:32:00 PM,BullishExhaustion,Profit target,$562.00,$1910.00,$38.00,$0.00,$0.00,$0.00,$0.00,$240.00,$600.00,$38.00,5,
6,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25337.00,25329.50,12/16/2025 11:28:00 PM,12/16/2025 11:29:00 PM,BullishAbsorption,Stop loss,($338.00),$1572.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$50.00,$388.00,2,
7,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25799.25,25791.75,12/23/2025 09:31:00 PM,12/23/2025 09:34:00 PM,BullishAbsorption,Stop loss,($338.00),$1234.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$60.00,$398.00,4,
8,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25861.75,25876.75,12/26/2025 11:16:00 AM,12/26/2025 11:21:00 AM,BullishAbsorption,Profit target,$562.00,$1796.00,$38.00,$0.00,$0.00,$0.00,$0.00,$200.00,$600.00,$38.00,6,
9,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25652.75,25667.75,12/29/2025 12:30:00 PM,12/29/2025 12:32:00 PM,BullishExhaustion,Profit target,$562.00,$2358.00,$38.00,$0.00,$0.00,$0.00,$0.00,$20.00,$600.00,$38.00,3,
10,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25715.75,25708.25,12/29/2025 07:52:00 PM,12/29/2025 07:57:00 PM,BullishAbsorption,Stop loss,($338.00),$2020.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$70.00,$408.00,6,
11,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25717.50,25710.00,12/30/2025 02:04:00 AM,12/30/2025 02:11:00 AM,BullishAbsorption,Stop loss,($338.00),$1682.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$20.00,$358.00,8,
12,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25802.75,25817.75,1/6/2026 09:34:00 PM,1/6/2026 10:19:00 PM,BullishAbsorption,Profit target,$562.00,$2244.00,$38.00,$0.00,$0.00,$0.00,$0.00,$40.00,$600.00,$38.00,46,
13,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25741.75,25734.25,1/9/2026 07:54:00 AM,1/9/2026 08:04:00 AM,BullishAbsorption,Stop loss,($338.00),$1906.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$450.00,$788.00,11,
14,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25850.00,25865.00,1/12/2026 08:43:00 PM,1/12/2026 08:49:00 PM,BullishExhaustion,Profit target,$562.00,$2468.00,$38.00,$0.00,$0.00,$0.00,$0.00,$160.00,$600.00,$38.00,7,
15,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25854.00,25846.50,1/14/2026 12:51:00 AM,1/14/2026 01:03:00 AM,BullishExhaustion,Stop loss,($338.00),$2130.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$310.00,$648.00,13,
16,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,26224.75,26217.25,1/29/2026 04:56:00 AM,1/29/2026 04:57:00 AM,BullishAbsorption,Stop loss,($338.00),$1792.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$210.00,$548.00,2,
17,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25412.50,25427.50,2/3/2026 10:50:00 PM,2/3/2026 10:56:00 PM,BullishAbsorption,Profit target,$562.00,$2354.00,$38.00,$0.00,$0.00,$0.00,$0.00,$30.00,$600.00,$38.00,7,
18,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25301.75,25316.75,2/9/2026 08:37:00 PM,2/9/2026 08:38:00 PM,BullishAbsorption,Profit target,$562.00,$2916.00,$38.00,$0.00,$0.00,$0.00,$0.00,$30.00,$600.00,$38.00,2,
19,MNQ MAR26,Backtest,FluxTrade_DeltaDivergence,Long,20,25231.25,25223.75,2/11/2026 06:32:00 PM,2/11/2026 06:32:00 PM,BullishAbsorption,Stop loss,($338.00),$2578.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$338.00,1,
