Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25184.25,25206.75,11/14/2025 10:17:00 AM,11/14/2025 10:17:00 AM,Buy,Profit target,$517.20,$517.20,$22.80,$0.00,$0.00,$0.00,$0.00,$0.00,$540.00,$22.80,1,
2,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25451.25,25443.75,11/20/2025 08:32:00 AM,11/20/2025 08:32:00 AM,Buy,Stop loss,($202.80),$314.40,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
3,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,24400.00,24406.75,11/21/2025 03:25:00 AM,11/21/2025 03:26:00 AM,Buy,Sell,$139.20,$453.60,$22.80,$0.00,$0.00,$0.00,$0.00,$12.00,$336.00,$196.80,2,
4,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,24794.25,24800.00,11/24/2025 03:38:00 AM,11/24/2025 03:39:00 AM,Buy,Sell,$115.20,$568.80,$22.80,$0.00,$0.00,$0.00,$0.00,$42.00,$228.00,$112.80,2,
5,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25169.75,25177.75,11/25/2025 02:52:00 AM,11/25/2025 02:54:00 AM,Buy,Sell,$169.20,$738.00,$22.80,$0.00,$0.00,$0.00,$0.00,$72.00,$324.00,$154.80,3,
6,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25477.75,25470.25,11/26/2025 09:41:00 AM,11/26/2025 09:41:00 AM,Buy,Stop loss,($202.80),$535.20,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
7,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25482.25,25474.75,11/26/2025 09:43:00 AM,11/26/2025 09:43:00 AM,Buy,Stop loss,($202.80),$332.40,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
8,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25638.75,25631.25,11/28/2025 08:54:00 AM,11/28/2025 08:58:00 AM,Buy,Stop loss,($202.80),$129.60,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$30.00,$232.80,5,
9,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25639.50,25632.00,11/28/2025 09:06:00 AM,11/28/2025 09:07:00 AM,Buy,Stop loss,($202.80),($73.20),$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$42.00,$244.80,2,
10,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25733.25,25741.75,11/30/2025 06:07:00 PM,11/30/2025 06:08:00 PM,Buy,Sell,$181.20,$108.00,$22.80,$0.00,$0.00,$0.00,$0.00,$72.00,$252.00,$70.80,2,
11,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25638.00,25644.75,12/1/2025 06:11:00 PM,12/1/2025 06:17:00 PM,Buy,Sell,$139.20,$247.20,$22.80,$0.00,$0.00,$0.00,$0.00,$144.00,$186.00,$46.80,7,
12,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25910.50,25915.75,12/3/2025 08:27:00 AM,12/3/2025 08:28:00 AM,Buy,Sell,$103.20,$350.40,$22.80,$0.00,$0.00,$0.00,$0.00,$30.00,$126.00,$22.80,2,
13,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25950.25,25942.75,12/4/2025 09:26:00 AM,12/4/2025 09:28:00 AM,Buy,Stop loss,($202.80),$147.60,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$90.00,$292.80,3,
14,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25949.00,25964.75,12/4/2025 09:29:00 AM,12/4/2025 09:30:00 AM,Buy,Sell,$355.20,$502.80,$22.80,$0.00,$0.00,$0.00,$0.00,$6.00,$408.00,$52.80,2,
15,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25977.75,25993.50,12/5/2025 09:47:00 AM,12/5/2025 09:48:00 AM,Buy,Sell,$355.20,$858.00,$22.80,$0.00,$0.00,$0.00,$0.00,$60.00,$498.00,$142.80,2,
16,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,26065.00,26057.50,12/8/2025 02:56:00 AM,12/8/2025 02:57:00 AM,Buy,Stop loss,($202.80),$655.20,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$12.00,$214.80,2,
17,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,26077.50,26070.00,12/8/2025 09:40:00 AM,12/8/2025 09:40:00 AM,Buy,Stop loss,($202.80),$452.40,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
18,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25950.00,25972.50,12/8/2025 06:34:00 PM,12/8/2025 06:53:00 PM,Buy,Profit target,$517.20,$969.60,$22.80,$0.00,$0.00,$0.00,$0.00,$102.00,$540.00,$22.80,20,
19,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25953.25,25964.25,12/9/2025 12:25:00 PM,12/9/2025 12:27:00 PM,Buy,Sell,$241.20,$1210.80,$22.80,$0.00,$0.00,$0.00,$0.00,$84.00,$288.00,$46.80,3,
20,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25987.25,25994.50,12/10/2025 03:16:00 AM,12/10/2025 03:20:00 AM,Buy,Sell,$151.20,$1362.00,$22.80,$0.00,$0.00,$0.00,$0.00,$60.00,$222.00,$70.80,5,
21,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25161.00,25171.00,12/16/2025 03:25:00 AM,12/16/2025 03:26:00 AM,Buy,Sell,$217.20,$1579.20,$22.80,$0.00,$0.00,$0.00,$0.00,$36.00,$252.00,$34.80,2,
22,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,24967.75,24960.25,12/17/2025 07:32:00 PM,12/17/2025 07:35:00 PM,Buy,Stop loss,($202.80),$1376.40,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$246.00,$448.80,4,
23,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25078.25,25070.75,12/18/2025 05:20:00 AM,12/18/2025 05:23:00 AM,Buy,Stop loss,($202.80),$1173.60,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$18.00,$220.80,4,
24,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25222.25,25240.00,12/18/2025 09:01:00 AM,12/18/2025 09:03:00 AM,Buy,Sell,$403.20,$1576.80,$22.80,$0.00,$0.00,$0.00,$0.00,$54.00,$474.00,$70.80,3,
25,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25556.00,25548.50,12/19/2025 10:10:00 AM,12/19/2025 10:11:00 AM,Buy,Stop loss,($202.80),$1374.00,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$234.00,$436.80,2,
26,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25699.75,25705.25,12/22/2025 02:28:00 AM,12/22/2025 02:35:00 AM,Buy,Sell,$109.20,$1483.20,$22.80,$0.00,$0.00,$0.00,$0.00,$42.00,$144.00,$34.80,8,
27,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25809.50,25811.50,12/23/2025 04:59:00 PM,12/23/2025 05:00:00 PM,Buy,Exit on session close,$25.20,$1508.40,$22.80,$0.00,$0.00,$0.00,$0.00,$48.00,$132.00,$106.80,2,
28,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25808.50,25814.50,12/24/2025 07:32:00 AM,12/24/2025 07:39:00 AM,Buy,Sell,$121.20,$1629.60,$22.80,$0.00,$0.00,$0.00,$0.00,$30.00,$156.00,$34.80,8,
29,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25771.25,25763.75,12/29/2025 09:48:00 AM,12/29/2025 09:48:00 AM,Buy,Stop loss,($202.80),$1426.80,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
30,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25686.25,25691.75,1/2/2026 03:33:00 AM,1/2/2026 03:35:00 AM,Buy,Sell,$109.20,$1536.00,$22.80,$0.00,$0.00,$0.00,$0.00,$78.00,$150.00,$40.80,3,
31,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25466.00,25471.00,1/4/2026 09:24:00 PM,1/4/2026 09:37:00 PM,Buy,Sell,$97.20,$1633.20,$22.80,$0.00,$0.00,$0.00,$0.00,$174.00,$144.00,$46.80,14,
32,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25536.00,25528.50,1/5/2026 03:38:00 AM,1/5/2026 03:39:00 AM,Buy,Stop loss,($202.80),$1430.40,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$108.00,$310.80,2,
33,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25664.75,25657.25,1/5/2026 12:06:00 PM,1/5/2026 12:07:00 PM,Buy,Stop loss,($202.80),$1227.60,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$108.00,$310.80,2,
34,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25636.00,25628.50,1/6/2026 08:15:00 AM,1/6/2026 08:21:00 AM,Buy,Stop loss,($202.80),$1024.80,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$150.00,$352.80,7,
35,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25641.00,25633.50,1/6/2026 09:41:00 AM,1/6/2026 09:41:00 AM,Buy,Stop loss,($202.80),$822.00,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
36,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25740.50,25763.00,1/6/2026 10:14:00 AM,1/6/2026 10:17:00 AM,Buy,Profit target,$517.20,$1339.20,$22.80,$0.00,$0.00,$0.00,$0.00,$54.00,$540.00,$22.80,4,
37,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25845.00,25867.50,1/7/2026 10:07:00 AM,1/7/2026 10:07:00 AM,Buy,Profit target,$517.20,$1856.40,$22.80,$0.00,$0.00,$0.00,$0.00,$0.00,$540.00,$22.80,1,
38,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25778.00,25783.00,1/8/2026 06:42:00 AM,1/8/2026 06:44:00 AM,Buy,Sell,$97.20,$1953.60,$22.80,$0.00,$0.00,$0.00,$0.00,$42.00,$120.00,$22.80,3,
39,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25979.50,25972.00,1/12/2026 01:57:00 PM,1/12/2026 02:01:00 PM,Buy,Stop loss,($202.80),$1750.80,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$24.00,$226.80,5,
40,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25975.75,25968.25,1/13/2026 08:52:00 AM,1/13/2026 08:52:00 AM,Buy,Stop loss,($202.80),$1548.00,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
41,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25692.50,25698.50,1/15/2026 01:40:00 AM,1/15/2026 01:41:00 AM,Buy,Sell,$121.20,$1669.20,$22.80,$0.00,$0.00,$0.00,$0.00,$6.00,$162.00,$40.80,2,
42,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25389.75,25395.25,1/19/2026 08:06:00 PM,1/19/2026 08:07:00 PM,Buy,Sell,$109.20,$1778.40,$22.80,$0.00,$0.00,$0.00,$0.00,$18.00,$162.00,$52.80,2,
43,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25284.25,25306.75,1/20/2026 09:43:00 AM,1/20/2026 09:43:00 AM,Buy,Profit target,$517.20,$2295.60,$22.80,$0.00,$0.00,$0.00,$0.00,$0.00,$540.00,$22.80,1,
44,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25196.25,25200.50,1/21/2026 12:02:00 AM,1/21/2026 12:05:00 AM,Buy,Sell,$79.20,$2374.80,$22.80,$0.00,$0.00,$0.00,$0.00,$78.00,$108.00,$28.80,4,
45,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25700.00,25692.50,1/22/2026 05:02:00 AM,1/22/2026 05:06:00 AM,Buy,Stop loss,($202.80),$2172.00,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$90.00,$292.80,5,
46,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25694.50,25687.00,1/22/2026 05:08:00 AM,1/22/2026 05:13:00 AM,Buy,Stop loss,($202.80),$1969.20,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$108.00,$310.80,6,
47,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25650.75,25643.25,1/22/2026 04:07:00 PM,1/22/2026 04:12:00 PM,Buy,Stop loss,($202.80),$1766.40,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$336.00,$538.80,6,
48,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25756.25,25748.75,1/26/2026 09:33:00 AM,1/26/2026 09:33:00 AM,Buy,Stop loss,($202.80),$1563.60,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
49,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25910.75,25926.25,1/26/2026 12:18:00 PM,1/26/2026 12:25:00 PM,Buy,Sell,$349.20,$1912.80,$22.80,$0.00,$0.00,$0.00,$0.00,$66.00,$402.00,$52.80,8,
50,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,26014.00,26022.75,1/27/2026 01:14:00 AM,1/27/2026 01:15:00 AM,Buy,Sell,$187.20,$2100.00,$22.80,$0.00,$0.00,$0.00,$0.00,$6.00,$210.00,$22.80,2,
51,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,26297.50,26290.00,1/28/2026 01:02:00 AM,1/28/2026 01:02:00 AM,Buy,Stop loss,($202.80),$1897.20,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
52,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,26302.25,26324.75,1/28/2026 01:31:00 AM,1/28/2026 01:31:00 AM,Buy,Profit target,$517.20,$2414.40,$22.80,$0.00,$0.00,$0.00,$0.00,$0.00,$540.00,$22.80,1,
53,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25985.00,25997.75,1/29/2026 04:09:00 PM,1/29/2026 04:10:00 PM,Buy,Sell,$283.20,$2697.60,$22.80,$0.00,$0.00,$0.00,$0.00,$54.00,$366.00,$82.80,2,
54,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25752.75,25775.25,2/2/2026 10:01:00 AM,2/2/2026 10:01:00 AM,Buy,Profit target,$517.20,$3214.80,$22.80,$0.00,$0.00,$0.00,$0.00,$0.00,$540.00,$22.80,1,
55,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,26008.75,26018.00,2/3/2026 03:11:00 AM,2/3/2026 03:13:00 AM,Buy,Sell,$199.20,$3414.00,$22.80,$0.00,$0.00,$0.00,$0.00,$78.00,$270.00,$70.80,3,
56,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25079.50,25072.00,2/6/2026 02:17:00 PM,2/6/2026 02:17:00 PM,Buy,Stop loss,($202.80),$3211.20,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$0.00,$202.80,1,
57,MNQ MAR26,Backtest,FluxTrade_Evolving,Long,12,25341.75,25334.25,2/10/2026 12:45:00 AM,2/10/2026 12:48:00 AM,Buy,Stop loss,($202.80),$3008.40,$22.80,$0.00,$0.00,$0.00,$0.00,$180.00,$90.00,$292.80,4,
