Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MNQ SEP25,Backtest,FluxLightning,Long,20,22368.75,22390.75,1/22/2025 9:33:00 AM,1/22/2025 9:34:00 AM,TrendLong,Sell,$880.00,$880.00,$0.00,$210.00,$1170.00,$290.00,2,
2,MNQ SEP25,Backtest,FluxLightning,Long,20,22207.00,22250.50,1/31/2025 9:32:00 AM,1/31/2025 9:33:00 AM,TrendLong,Sell,$1740.00,$2620.00,$0.00,$480.00,$1890.00,$150.00,2,
3,MNQ SEP25,Backtest,FluxLightning,Long,20,22088.00,22105.00,2/12/2025 10:21:00 AM,2/12/2025 10:23:00 AM,TrendLong,Sell,$680.00,$3300.00,$0.00,$210.00,$920.00,$240.00,3,
4,MNQ SEP25,Backtest,FluxLightning,Long,20,19947.00,19934.50,3/14/2025 9:35:00 AM,3/14/2025 9:35:00 AM,TrendLong,Stop loss,($500.00),$2800.00,$0.00,$500.00,$0.00,$500.00,1,
5,MNQ SEP25,Backtest,FluxLightning,Long,20,20058.75,20071.50,3/19/2025 11:10:00 AM,3/19/2025 11:11:00 AM,TrendLong,Sell,$510.00,$3310.00,$0.00,$50.00,$590.00,$80.00,2,
6,MNQ SEP25,Backtest,FluxLightning,Long,20,17278.25,17265.75,4/7/2025 9:54:00 AM,4/7/2025 9:54:00 AM,TrendLong,Stop loss,($500.00),$2810.00,$0.00,$500.00,$0.00,$500.00,1,
7,MNQ SEP25,Backtest,FluxLightning,Long,20,18591.25,18646.75,4/22/2025 12:01:00 PM,4/22/2025 12:02:00 PM,TrendLong,Sell,$2220.00,$5030.00,$0.00,$0.00,$2290.00,$70.00,2,
8,MNQ SEP25,Backtest,FluxLightning,Long,20,19161.00,19193.25,4/23/2025 9:24:00 AM,4/23/2025 9:33:00 AM,TrendLong,Sell,$1290.00,$6320.00,$0.00,$480.00,$1360.00,$70.00,10,
9,MNQ SEP25,Backtest,FluxLightning,Long,20,19809.25,19833.25,4/28/2025 9:46:00 AM,4/28/2025 9:48:00 AM,TrendLong,Sell,$960.00,$7280.00,$0.00,$90.00,$1010.00,$50.00,3,
10,MNQ SEP25,Backtest,FluxLightning,Long,20,22951.00,22964.50,7/9/2025 9:09:00 AM,7/9/2025 9:27:00 AM,TrendLong,Sell,$540.00,$7820.00,$0.00,$110.00,$630.00,$90.00,19,
