Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ SEP25,Backtest,HolyGrailAdaptive,Long,1,21535.50,21532.50,1/14/2025 8:32:00 AM,1/14/2025 8:32:00 AM,TrendL,Stop loss,($65.68),($65.68),$5.68,$60.00,$0.00,$65.68,1,
2,NQ SEP25,Backtest,HolyGrailAdaptive,Long,1,21543.00,21539.25,1/14/2025 8:33:00 AM,1/14/2025 8:33:00 AM,TrendL,Stop loss,($80.68),($146.36),$5.68,$75.00,$0.00,$80.68,1,
3,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21208.00,21210.50,1/14/2025 3:06:00 PM,1/14/2025 3:06:00 PM,TrendS,Stop loss,($55.68),($202.04),$5.68,$50.00,$0.00,$55.68,1,
4,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21951.75,21954.25,1/20/2025 7:55:00 PM,1/20/2025 7:55:00 PM,TrendS,Stop loss,($55.68),($257.72),$5.68,$50.00,$0.00,$55.68,1,
5,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21967.75,21972.50,1/20/2025 7:56:00 PM,1/20/2025 7:56:00 PM,TrendS,Stop loss,($100.68),($358.40),$5.68,$95.00,$0.00,$100.68,1,
6,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21977.00,21982.50,1/20/2025 7:58:00 PM,1/20/2025 7:58:00 PM,TrendS,Stop loss,($115.68),($474.08),$5.68,$110.00,$0.00,$115.68,1,
7,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21968.75,21969.25,1/20/2025 7:59:00 PM,1/20/2025 7:59:00 PM,TrendS,Stop loss,($15.68),($489.76),$5.68,$10.00,$0.00,$15.68,1,
8,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21903.00,21799.50,1/20/2025 8:00:00 PM,1/20/2025 8:01:00 PM,TrendS,Profit target,$2064.32,$1574.56,$5.68,$15.00,$2070.00,$5.68,2,
9,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21860.50,21863.00,1/20/2025 8:02:00 PM,1/20/2025 8:02:00 PM,TrendS,Stop loss,($55.68),$1518.88,$5.68,$50.00,$0.00,$55.68,1,
10,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21886.25,21888.50,1/20/2025 8:03:00 PM,1/20/2025 8:03:00 PM,TrendS,Stop loss,($50.68),$1468.20,$5.68,$45.00,$0.00,$50.68,1,
11,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21254.75,21256.25,1/27/2025 5:53:00 AM,1/27/2025 5:53:00 AM,TrendS,Stop loss,($35.68),$1432.52,$5.68,$30.00,$0.00,$35.68,1,
12,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21199.75,21202.00,1/27/2025 5:54:00 AM,1/27/2025 5:54:00 AM,TrendS,Stop loss,($50.68),$1381.84,$5.68,$45.00,$0.00,$50.68,1,
13,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,22389.25,22392.25,2/20/2025 10:03:00 AM,2/20/2025 10:03:00 AM,TrendS,Stop loss,($65.68),$1316.16,$5.68,$60.00,$0.00,$65.68,1,
14,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,22402.50,22406.00,2/20/2025 10:04:00 AM,2/20/2025 10:04:00 AM,TrendS,Stop loss,($75.68),$1240.48,$5.68,$70.00,$0.00,$75.68,1,
15,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21881.25,21884.25,2/24/2025 10:08:00 AM,2/24/2025 10:08:00 AM,TrendS,Stop loss,($65.68),$1174.80,$5.68,$60.00,$0.00,$65.68,1,
16,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21868.00,21870.00,2/24/2025 10:09:00 AM,2/24/2025 10:09:00 AM,TrendS,Stop loss,($45.68),$1129.12,$5.68,$40.00,$0.00,$45.68,1,
17,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21346.75,21347.25,2/27/2025 10:03:00 AM,2/27/2025 10:03:00 AM,TrendS,Stop loss,($15.68),$1113.44,$5.68,$10.00,$0.00,$15.68,1,
18,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21261.75,21264.50,2/27/2025 2:34:00 PM,2/27/2025 2:34:00 PM,TrendS,Stop loss,($60.68),$1052.76,$5.68,$55.00,$0.00,$60.68,1,
19,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21244.75,21247.00,2/27/2025 2:35:00 PM,2/27/2025 2:35:00 PM,TrendS,Stop loss,($50.68),$1002.08,$5.68,$45.00,$0.00,$50.68,1,
20,NQ SEP25,Backtest,HolyGrailAdaptive,Short,1,21253.00,21255.25,2/27/2025 2:36:00 PM,2/27/2025 2:36:00 PM,TrendS,Stop loss,($50.68),$951.40,$5.68,$45.00,$0.00,$50.68,1,
