Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,23964.25,23972.00,8/31/2025 11:06:00 PM,8/31/2025 11:13:00 PM,Buy,Sell,$312.80,$312.80,$43.70,$0.00,$0.00,$0.00,$0.00,$34.50,$414.00,$101.20,8,
2,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,23818.75,23806.25,9/3/2025 01:02:00 AM,9/3/2025 01:07:00 AM,Sell short,Buy to cover,$531.30,$844.10,$43.70,$0.00,$0.00,$0.00,$0.00,$57.50,$586.50,$55.20,6,
3,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,24225.75,24232.75,9/4/2025 11:15:00 PM,9/5/2025 12:00:00 AM,Buy,Sell,$278.30,$1122.40,$43.70,$0.00,$0.00,$0.00,$0.00,$230.00,$368.00,$89.70,46,
4,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,24257.50,24268.50,9/5/2025 02:03:00 AM,9/5/2025 02:11:00 AM,Buy,Sell,$462.30,$1584.70,$43.70,$0.00,$0.00,$0.00,$0.00,$138.00,$598.00,$135.70,9,
5,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,24303.25,24296.25,9/8/2025 08:19:00 PM,9/8/2025 09:06:00 PM,Sell short,Buy to cover,$278.30,$1863.00,$43.70,$0.00,$0.00,$0.00,$0.00,$230.00,$414.00,$135.70,48,
6,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,24416.75,24389.25,9/11/2025 08:34:00 AM,9/11/2025 08:34:00 AM,Sell short,Profit target,$1221.30,$3084.30,$43.70,$0.00,$0.00,$0.00,$0.00,$0.00,$1265.00,$43.70,1,
7,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,24605.00,24611.50,9/14/2025 10:04:00 PM,9/14/2025 10:12:00 PM,Buy,Sell,$255.30,$3339.60,$43.70,$0.00,$0.00,$0.00,$0.00,$80.50,$310.50,$55.20,9,
8,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,24770.00,24770.00,9/15/2025 03:52:00 PM,9/15/2025 03:54:00 PM,Sell short,Stop loss,($43.70),$3295.90,$43.70,$0.00,$0.00,$0.00,$0.00,$103.50,$448.50,$492.20,3,
9,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,24776.25,24776.25,9/17/2025 01:10:00 AM,9/17/2025 01:12:00 AM,Buy,Stop loss,($43.70),$3252.20,$43.70,$0.00,$0.00,$0.00,$0.00,$46.00,$184.00,$227.70,3,
10,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,24890.75,24898.25,9/18/2025 12:25:00 AM,9/18/2025 12:31:00 AM,Sell short,Stop loss,($388.70),$2863.50,$43.70,$0.00,$0.00,$0.00,$0.00,$345.00,$11.50,$400.20,7,
11,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,25092.25,25099.75,9/21/2025 09:38:00 PM,9/21/2025 09:56:00 PM,Sell short,Stop loss,($388.70),$2474.80,$43.70,$0.00,$0.00,$0.00,$0.00,$345.00,$195.50,$584.20,19,
12,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,25257.50,25243.25,9/23/2025 03:02:00 AM,9/23/2025 03:07:00 AM,Sell short,Buy to cover,$611.80,$3086.60,$43.70,$0.00,$0.00,$0.00,$0.00,$80.50,$655.50,$43.70,6,
13,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,24843.00,24851.75,9/26/2025 12:03:00 AM,9/26/2025 12:11:00 AM,Buy,Sell,$358.80,$3445.40,$43.70,$0.00,$0.00,$0.00,$0.00,$310.50,$494.50,$135.70,9,
14,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,25309.00,25301.50,10/1/2025 11:29:00 PM,10/1/2025 11:32:00 PM,Sell short,Buy to cover,$301.30,$3746.70,$43.70,$0.00,$0.00,$0.00,$0.00,$0.00,$345.00,$43.70,4,
15,MNQ MAR26,Backtest,FluxTrade_Hundo,Short,23,25436.00,25427.00,10/7/2025 06:02:00 AM,10/7/2025 06:07:00 AM,Sell short,Buy to cover,$370.30,$4117.00,$43.70,$0.00,$0.00,$0.00,$0.00,$23.00,$494.50,$124.20,6,
16,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,25579.00,25571.50,10/9/2025 08:02:00 AM,10/9/2025 08:02:00 AM,Buy,Stop loss,($388.70),$3728.30,$43.70,$0.00,$0.00,$0.00,$0.00,$345.00,$0.00,$388.70,1,
17,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,26230.50,26223.00,10/30/2025 04:03:00 PM,10/30/2025 04:03:00 PM,Buy,Stop loss,($388.70),$3339.60,$43.70,$0.00,$0.00,$0.00,$0.00,$345.00,$0.00,$388.70,1,
18,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,25744.25,25751.75,11/5/2025 03:07:00 AM,11/5/2025 03:08:00 AM,Buy,Sell,$301.30,$3640.90,$43.70,$0.00,$0.00,$0.00,$0.00,$46.00,$448.50,$147.20,2,
19,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,25993.75,26004.25,11/10/2025 09:11:00 PM,11/10/2025 09:12:00 PM,Buy,Sell,$439.30,$4080.20,$43.70,$0.00,$0.00,$0.00,$0.00,$23.00,$563.50,$124.20,2,
20,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,25321.25,25313.75,11/17/2025 09:34:00 AM,11/17/2025 09:34:00 AM,Buy,Stop loss,($388.70),$3691.50,$43.70,$0.00,$0.00,$0.00,$0.00,$345.00,$0.00,$388.70,1,
21,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,24866.25,24893.75,11/19/2025 12:44:00 PM,11/19/2025 12:44:00 PM,Buy,Profit target,$1221.30,$4912.80,$43.70,$0.00,$0.00,$0.00,$0.00,$0.00,$1265.00,$43.70,1,
22,MNQ MAR26,Backtest,FluxTrade_Hundo,Long,23,24356.00,24383.50,11/21/2025 07:32:00 AM,11/21/2025 07:32:00 AM,Buy,Profit target,$1221.30,$6134.10,$43.70,$0.00,$0.00,$0.00,$0.00,$0.00,$1265.00,$43.70,1,
