Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
6/2/2025,1,($300.00),($300.00),$0.00,($300.00),$0.00,($300.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),2.00,$300.00,$1080.00,$1380.00,2.38%,
6/3/2025,1,($600.00),($300.00),$0.00,($300.00),$0.00,($600.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),0.00,$300.00,$0.00,$300.00,2.38%,
6/4/2025,2,$200.00,$800.00,$1100.00,($300.00),$0.00,($900.00),($300.00),50.00%,$400.00,$1100.00,($300.00),$1100.00,($300.00),0.00,$165.00,$550.00,$150.00,4.76%,
6/5/2025,1,$1300.00,$1100.00,$1100.00,$0.00,$0.00,$0.00,$0.00,100.00%,$1100.00,$1100.00,$0.00,$1100.00,$0.00,0.00,$0.00,$1100.00,$0.00,2.38%,
6/9/2025,1,$1000.00,($300.00),$0.00,($300.00),$0.00,($300.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),2.00,$300.00,$190.00,$490.00,2.38%,
6/12/2025,1,$700.00,($300.00),$0.00,($300.00),$0.00,($600.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),0.00,$300.00,$0.00,$300.00,2.38%,
6/17/2025,3,$1200.00,$500.00,$1100.00,($600.00),$0.00,($1200.00),($600.00),33.33%,$166.67,$1100.00,($300.00),$1100.00,($300.00),76.00,$210.00,$366.67,$200.00,7.14%,
6/18/2025,1,$900.00,($300.00),$0.00,($300.00),$0.00,($400.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),1.00,$300.00,$130.00,$430.00,2.38%,
6/25/2025,1,$600.00,($300.00),$0.00,($300.00),$0.00,($700.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),0.00,$300.00,$0.00,$300.00,2.38%,
6/26/2025,1,$1700.00,$1100.00,$1100.00,$0.00,$0.00,$0.00,$0.00,100.00%,$1100.00,$1100.00,$0.00,$1100.00,$0.00,2.00,$280.00,$1100.00,$0.00,2.38%,
6/27/2025,2,$1100.00,($600.00),$0.00,($600.00),$0.00,($600.00),($600.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),14.00,$300.00,$270.00,$570.00,4.76%,
7/1/2025,1,$2200.00,$1100.00,$1100.00,$0.00,$0.00,$0.00,$0.00,100.00%,$1100.00,$1100.00,$0.00,$1100.00,$0.00,2.00,$20.00,$1100.00,$0.00,2.38%,
7/2/2025,1,$1900.00,($300.00),$0.00,($300.00),$0.00,($300.00),($300.00),0.00%,($300.00),$0.00,($300.00),$0.00,($300.00),0.00,$300.00,$0.00,$300.00,2.38%,
