Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ SEP25,Backtest,LowVolatility,Long,5,22633.25,22660.75,7/1/2025 11:20:00 AM,7/1/2025 11:25:00 AM,VWAPLong,Profit target,$2750.00,$2750.00,$0.00,$325.00,$2750.00,$0.00,6,
2,NQ SEP25,Backtest,LowVolatility,Long,5,22938.50,22929.75,7/4/2025 10:32:00 AM,7/4/2025 11:12:00 AM,VWAPLong,Stop loss,($875.00),$1875.00,$0.00,$875.00,$600.00,$1475.00,41,
3,NQ SEP25,Backtest,LowVolatility,Short,5,22961.00,22933.50,7/14/2025 10:28:00 AM,7/14/2025 10:29:00 AM,VWAPShort,Profit target,$2750.00,$4625.00,$0.00,$0.00,$2750.00,$0.00,2,
4,NQ SEP25,Backtest,LowVolatility,Long,5,23481.00,23508.50,7/28/2025 11:36:00 AM,7/28/2025 12:23:00 PM,VWAPLong,Profit target,$2750.00,$7375.00,$0.00,$700.00,$2750.00,$0.00,48,
5,NQ SEP25,Backtest,LowVolatility,Long,5,23565.00,23592.50,7/31/2025 11:40:00 AM,7/31/2025 12:03:00 PM,VWAPLong,Profit target,$2750.00,$10125.00,$0.00,$775.00,$2750.00,$0.00,24,
6,NQ SEP25,Backtest,LowVolatility,Long,5,22986.50,23014.00,8/1/2025 11:45:00 AM,8/1/2025 11:47:00 AM,VWAPLong,Profit target,$2750.00,$12875.00,$0.00,$750.00,$2750.00,$0.00,3,
7,NQ SEP25,Backtest,LowVolatility,Long,5,22984.00,23011.50,8/1/2025 11:49:00 AM,8/1/2025 12:01:00 PM,VWAPLong,Profit target,$2750.00,$15625.00,$0.00,$450.00,$2750.00,$0.00,13,
8,NQ SEP25,Backtest,LowVolatility,Short,5,23952.25,23924.75,8/14/2025 11:00:00 AM,8/14/2025 11:21:00 AM,VWAPShort,Profit target,$2750.00,$18375.00,$0.00,$850.00,$2750.00,$0.00,22,
9,NQ SEP25,Backtest,LowVolatility,Long,5,23807.00,23798.25,8/15/2025 11:57:00 AM,8/15/2025 11:58:00 AM,VWAPLong,Stop loss,($875.00),$17500.00,$0.00,$875.00,$550.00,$1425.00,2,
10,NQ SEP25,Backtest,LowVolatility,Long,5,23140.75,23168.25,8/20/2025 11:17:00 AM,8/20/2025 11:19:00 AM,VWAPLong,Profit target,$2750.00,$20250.00,$0.00,$75.00,$2750.00,$0.00,3,
11,NQ SEP25,Backtest,LowVolatility,Long,5,23173.50,23201.00,8/20/2025 11:21:00 AM,8/20/2025 11:24:00 AM,VWAPLong,Profit target,$2750.00,$23000.00,$0.00,$125.00,$2750.00,$0.00,4,
