Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ DEC25,Backtest,FluxTradeProp_Mars,Short,10,23434.00,23441.75,7/23/2025 9:33:00 AM,7/23/2025 9:33:00 AM,Sell short,Stop loss,($172.40),($172.40),$17.40,$0.00,$0.00,$0.00,$0.00,$155.00,$0.00,$172.40,1,
2,MNQ DEC25,Backtest,FluxTradeProp_Mars,Long,10,23206.00,23198.25,8/1/2025 9:42:00 AM,8/1/2025 9:42:00 AM,Buy,Stop loss,($172.40),($344.80),$17.40,$0.00,$0.00,$0.00,$0.00,$155.00,$0.00,$172.40,1,
3,MNQ DEC25,Backtest,FluxTradeProp_Mars,Short,10,23064.00,23064.25,8/1/2025 10:02:00 AM,8/1/2025 10:04:00 AM,Sell short,Stop loss,($22.40),($367.20),$17.40,$0.00,$0.00,$0.00,$0.00,$30.00,$450.00,$472.40,3,
4,MNQ DEC25,Backtest,FluxTradeProp_Mars,Long,10,23531.75,23568.00,8/6/2025 11:16:00 AM,8/6/2025 11:30:00 AM,Buy,Sell,$707.60,$340.40,$17.40,$0.00,$0.00,$0.00,$0.00,$80.00,$735.00,$27.40,15,
5,MNQ DEC25,Backtest,FluxTradeProp_Mars,Long,10,23999.75,24039.50,8/11/2025 11:59:00 AM,8/11/2025 12:13:00 PM,Buy,Sell,$777.60,$1118.00,$17.40,$0.00,$0.00,$0.00,$0.00,$110.00,$840.00,$62.40,15,
6,MNQ DEC25,Backtest,FluxTradeProp_Mars,Short,10,23961.50,23904.50,8/19/2025 9:33:00 AM,8/19/2025 9:36:00 AM,Sell short,Buy to cover,$1122.60,$2240.60,$17.40,$0.00,$0.00,$0.00,$0.00,$20.00,$1205.00,$82.40,4,
7,MNQ DEC25,Backtest,FluxTradeProp_Mars,Short,10,23380.25,23314.75,8/20/2025 10:07:00 AM,8/20/2025 10:18:00 AM,Sell short,Buy to cover,$1292.60,$3533.20,$17.40,$0.00,$0.00,$0.00,$0.00,$85.00,$1405.00,$112.40,12,
8,MNQ DEC25,Backtest,FluxTradeProp_Mars,Short,10,24532.25,24540.00,9/16/2025 9:53:00 AM,9/16/2025 9:54:00 AM,Sell short,Stop loss,($172.40),$3360.80,$17.40,$0.00,$0.00,$0.00,$0.00,$155.00,$100.00,$272.40,2,
9,MNQ DEC25,Backtest,FluxTradeProp_Mars,Long,10,24950.00,24949.75,9/23/2025 9:43:00 AM,9/23/2025 9:55:00 AM,Buy,Stop loss,($22.40),$3338.40,$17.40,$0.00,$0.00,$0.00,$0.00,$145.00,$430.00,$452.40,13,
10,MNQ DEC25,Backtest,FluxTradeProp_Mars,Long,10,24677.00,24676.75,9/25/2025 11:42:00 AM,9/25/2025 11:51:00 AM,Buy,Stop loss,($22.40),$3316.00,$17.40,$0.00,$0.00,$0.00,$0.00,$115.00,$400.00,$422.40,10,
11,MNQ DEC25,Backtest,FluxTradeProp_Mars,Short,10,24867.75,24868.00,9/29/2025 11:29:00 AM,9/29/2025 11:45:00 AM,Sell short,Stop loss,($22.40),$3293.60,$17.40,$0.00,$0.00,$0.00,$0.00,$125.00,$625.00,$647.40,17,
12,MNQ DEC25,Backtest,FluxTradeProp_Mars,Long,10,25117.00,25147.00,10/3/2025 11:45:00 AM,10/3/2025 11:59:00 AM,Buy,Sell,$582.60,$3876.20,$17.40,$0.00,$0.00,$0.00,$0.00,$100.00,$700.00,$117.40,15,
13,MNQ DEC25,Backtest,FluxTradeProp_Mars,Short,10,24941.25,24949.00,10/10/2025 11:20:00 AM,10/10/2025 11:20:00 AM,Sell short,Stop loss,($172.40),$3703.80,$17.40,$0.00,$0.00,$0.00,$0.00,$155.00,$0.00,$172.40,1,
