Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ DEC25,Backtest,FluxTrade_MegaBands,Short,3,23860.25,23702.25,8/19/2025 10:33:00 AM,8/19/2025 1:06:00 PM,Sell short,Profit target,$942.78,$942.78,$5.22,$0.00,$0.00,$0.00,$0.00,$216.00,$948.00,$5.22,154,
2,MNQ DEC25,Backtest,FluxTrade_MegaBands,Short,3,23518.75,23344.00,8/20/2025 9:48:00 AM,8/20/2025 10:09:00 AM,Sell short,Profit target,$1043.28,$1986.06,$5.22,$0.00,$0.00,$0.00,$0.00,$93.00,$1048.50,$5.22,22,
3,MNQ DEC25,Backtest,FluxTrade_MegaBands,Short,3,23320.25,23320.25,8/20/2025 10:41:00 AM,8/20/2025 10:48:00 AM,Sell short,Stop loss,($5.22),$1980.84,$5.22,$0.00,$0.00,$0.00,$0.00,$42.00,$246.00,$251.22,8,
4,MNQ DEC25,Backtest,FluxTrade_MegaBands,Long,3,23552.50,23507.50,8/22/2025 9:45:00 AM,8/22/2025 9:58:00 AM,Buy,Stop loss,($275.22),$1705.62,$5.22,$0.00,$0.00,$0.00,$0.00,$270.00,$166.50,$441.72,14,
5,MNQ DEC25,Backtest,FluxTrade_MegaBands,Long,3,23718.00,23718.00,8/22/2025 10:03:00 AM,8/22/2025 10:05:00 AM,Buy,Stop loss,($5.22),$1700.40,$5.22,$0.00,$0.00,$0.00,$0.00,$15.00,$309.00,$314.22,3,
6,MNQ DEC25,Backtest,FluxTrade_MegaBands,Long,3,23798.00,23798.00,8/22/2025 10:10:00 AM,8/22/2025 10:20:00 AM,Buy,Stop loss,($5.22),$1695.18,$5.22,$0.00,$0.00,$0.00,$0.00,$117.00,$436.50,$441.72,11,
7,MNQ DEC25,Backtest,FluxTrade_MegaBands,Long,3,23858.00,23858.00,8/22/2025 10:46:00 AM,8/22/2025 10:48:00 AM,Buy,Stop loss,($5.22),$1689.96,$5.22,$0.00,$0.00,$0.00,$0.00,$21.00,$126.00,$131.22,3,
8,MNQ DEC25,Backtest,FluxTrade_MegaBands,Long,3,23784.75,23784.75,8/25/2025 10:09:00 AM,8/25/2025 10:56:00 AM,Buy,Stop loss,($5.22),$1684.74,$5.22,$0.00,$0.00,$0.00,$0.00,$175.50,$165.00,$170.22,48,
9,MNQ DEC25,Backtest,FluxTrade_MegaBands,Long,3,23819.50,23819.50,8/27/2025 10:20:00 AM,8/27/2025 11:33:00 AM,Buy,Stop loss,($5.22),$1679.52,$5.22,$0.00,$0.00,$0.00,$0.00,$3.00,$202.50,$207.72,74,
10,MNQ DEC25,Backtest,FluxTrade_MegaBands,Short,3,23855.75,23855.75,8/28/2025 9:52:00 AM,8/28/2025 10:02:00 AM,Sell short,Stop loss,($5.22),$1674.30,$5.22,$0.00,$0.00,$0.00,$0.00,$93.00,$276.00,$281.22,11,
