Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,23925.25,23925.00,8/8/2025 12:20:00 PM,8/8/2025 12:29:00 PM,Buy,Stop loss,($26.88),($26.88),$20.88,$0.00,$0.00,$0.00,$0.00,$18.00,$306.00,$332.88,10,
2,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24029.00,24021.25,8/11/2025 12:15:00 PM,8/11/2025 12:15:00 PM,Buy,Stop loss,($206.88),($233.76),$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$0.00,$206.88,1,
3,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24024.50,24018.50,8/11/2025 12:16:00 PM,8/11/2025 12:20:00 PM,Buy,Sell,($164.88),($398.64),$20.88,$0.00,$0.00,$0.00,$0.00,$162.00,$174.00,$338.88,5,
4,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24084.75,24084.50,8/12/2025 11:22:00 AM,8/12/2025 11:28:00 AM,Buy,Stop loss,($26.88),($425.52),$20.88,$0.00,$0.00,$0.00,$0.00,$174.00,$264.00,$290.88,7,
5,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24085.25,24077.50,8/12/2025 11:29:00 AM,8/12/2025 11:29:00 AM,Buy,Stop loss,($206.88),($632.40),$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$0.00,$206.88,1,
6,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24072.25,24064.50,8/12/2025 11:30:00 AM,8/12/2025 11:30:00 AM,Buy,Stop loss,($206.88),($839.28),$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$0.00,$206.88,1,
7,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,23437.75,23467.00,8/20/2025 11:27:00 AM,8/20/2025 11:33:00 AM,Buy,Sell,$681.12,($158.16),$20.88,$0.00,$0.00,$0.00,$0.00,$108.00,$798.00,$116.88,7,
8,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,23538.75,23531.00,8/21/2025 10:35:00 AM,8/21/2025 10:35:00 AM,Buy,Stop loss,($206.88),($365.04),$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$0.00,$206.88,1,
9,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,23532.50,23524.75,8/21/2025 10:36:00 AM,8/21/2025 10:38:00 AM,Buy,Stop loss,($206.88),($571.92),$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$144.00,$350.88,3,
10,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,23724.00,23757.75,8/22/2025 10:06:00 AM,8/22/2025 10:07:00 AM,Buy,Sell,$789.12,$217.20,$20.88,$0.00,$0.00,$0.00,$0.00,$90.00,$924.00,$134.88,2,
11,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,23802.00,23831.75,8/27/2025 12:41:00 PM,8/27/2025 12:51:00 PM,Buy,Sell,$693.12,$910.32,$20.88,$0.00,$0.00,$0.00,$0.00,$144.00,$756.00,$62.88,11,
12,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,23978.00,23970.25,8/28/2025 12:32:00 PM,8/28/2025 12:32:00 PM,Buy,Stop loss,($206.88),$703.44,$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$0.00,$206.88,1,
13,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,23970.50,23962.75,8/28/2025 12:36:00 PM,8/28/2025 1:01:00 PM,Buy,Stop loss,($206.88),$496.56,$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$678.00,$884.88,26,
14,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24777.50,24769.75,9/18/2025 10:22:00 AM,9/18/2025 10:23:00 AM,Buy,Stop loss,($206.88),$289.68,$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$102.00,$308.88,2,
15,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24761.00,24802.25,9/18/2025 10:25:00 AM,9/18/2025 10:32:00 AM,Buy,Sell,$969.12,$1258.80,$20.88,$0.00,$0.00,$0.00,$0.00,$96.00,$1002.00,$32.88,8,
16,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24800.50,24832.75,9/19/2025 12:14:00 PM,9/19/2025 12:50:00 PM,Buy,Sell,$753.12,$2011.92,$20.88,$0.00,$0.00,$0.00,$0.00,$114.00,$816.00,$62.88,37,
17,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24621.50,24613.75,9/25/2025 10:29:00 AM,9/25/2025 10:29:00 AM,Buy,Stop loss,($206.88),$1805.04,$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$0.00,$206.88,1,
18,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24610.25,24610.00,9/25/2025 10:30:00 AM,9/25/2025 10:37:00 AM,Buy,Stop loss,($26.88),$1778.16,$20.88,$0.00,$0.00,$0.00,$0.00,$60.00,$618.00,$644.88,8,
19,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24612.25,24654.50,9/25/2025 10:38:00 AM,9/25/2025 10:51:00 AM,Buy,Sell,$993.12,$2771.28,$20.88,$0.00,$0.00,$0.00,$0.00,$72.00,$1068.00,$74.88,14,
20,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24881.50,24881.25,10/1/2025 10:35:00 AM,10/1/2025 10:41:00 AM,Buy,Stop loss,($26.88),$2744.40,$20.88,$0.00,$0.00,$0.00,$0.00,$12.00,$732.00,$758.88,7,
21,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24891.00,24883.25,10/1/2025 10:42:00 AM,10/1/2025 10:42:00 AM,Buy,Stop loss,($206.88),$2537.52,$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$0.00,$206.88,1,
22,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24891.75,24884.00,10/1/2025 10:43:00 AM,10/1/2025 10:45:00 AM,Buy,Stop loss,($206.88),$2330.64,$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$114.00,$320.88,3,
23,MNQ DEC25,Backtest,FluxTradeProp_Moon,Long,12,24887.25,24879.50,10/13/2025 11:38:00 AM,10/13/2025 11:38:00 AM,Buy,Stop loss,($206.88),$2123.76,$20.88,$0.00,$0.00,$0.00,$0.00,$186.00,$0.00,$206.88,1,
