Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MNQ SEP25,Backtest,ORB,Short,15,21465.25,21479.00,6/2/2025 10:03:00 AM,6/2/2025 10:03:00 AM,Sell short,Stop loss,($412.50),($412.50),$0.00,$412.50,$0.00,$412.50,1,
2,MNQ SEP25,Backtest,ORB,Long,15,21821.75,21849.25,6/3/2025 10:02:00 AM,6/3/2025 10:04:00 AM,Buy,Profit target,$825.00,$412.50,$0.00,$172.50,$825.00,$0.00,3,
3,MNQ SEP25,Backtest,ORB,Short,15,21942.75,21956.50,6/5/2025 9:57:00 AM,6/5/2025 10:02:00 AM,Sell short,Stop loss,($412.50),$0.00,$0.00,$412.50,$765.00,$1177.50,6,
4,MNQ SEP25,Backtest,ORB,Long,15,22090.00,22076.25,6/9/2025 10:35:00 AM,6/9/2025 10:44:00 AM,Buy,Stop loss,($412.50),($412.50),$0.00,$412.50,$112.50,$525.00,10,
5,MNQ SEP25,Backtest,ORB,Long,15,22110.50,22138.00,6/10/2025 12:51:00 PM,6/10/2025 1:14:00 PM,Buy,Profit target,$825.00,$412.50,$0.00,$127.50,$825.00,$0.00,24,
6,MNQ SEP25,Backtest,ORB,Long,15,22105.25,22132.75,6/12/2025 10:09:00 AM,6/12/2025 10:16:00 AM,Buy,Profit target,$825.00,$1237.50,$0.00,$270.00,$825.00,$0.00,8,
7,MNQ SEP25,Backtest,ORB,Long,15,22022.00,22049.50,6/13/2025 12:53:00 PM,6/13/2025 12:57:00 PM,Buy,Profit target,$825.00,$2062.50,$0.00,$7.50,$825.00,$0.00,5,
8,MNQ SEP25,Backtest,ORB,Long,15,22133.75,22161.25,6/16/2025 9:55:00 AM,6/16/2025 9:57:00 AM,Buy,Profit target,$825.00,$2887.50,$0.00,$315.00,$825.00,$0.00,3,
9,MNQ SEP25,Backtest,ORB,Long,15,22062.00,22089.50,6/18/2025 10:23:00 AM,6/18/2025 10:35:00 AM,Buy,Profit target,$825.00,$3712.50,$0.00,$165.00,$825.00,$0.00,13,
10,MNQ SEP25,Backtest,ORB,Long,15,22604.75,22632.25,6/26/2025 12:48:00 PM,6/26/2025 1:17:00 PM,Buy,Profit target,$825.00,$4537.50,$0.00,$232.50,$825.00,$0.00,30,
11,MNQ SEP25,Backtest,ORB,Long,15,22755.75,22783.25,6/27/2025 9:57:00 AM,6/27/2025 10:01:00 AM,Buy,Profit target,$825.00,$5362.50,$0.00,$30.00,$825.00,$0.00,5,
12,MNQ SEP25,Backtest,ORB,Short,15,22638.75,22611.25,7/1/2025 11:11:00 AM,7/1/2025 11:12:00 AM,Sell short,Profit target,$825.00,$6187.50,$0.00,$210.00,$825.00,$0.00,2,
13,MNQ SEP25,Backtest,ORB,Long,15,22738.00,22765.50,7/2/2025 10:09:00 AM,7/2/2025 10:24:00 AM,Buy,Profit target,$825.00,$7012.50,$0.00,$90.00,$825.00,$0.00,16,
14,MNQ SEP25,Backtest,ORB,Long,15,22994.00,23021.50,7/3/2025 9:56:00 AM,7/3/2025 10:01:00 AM,Buy,Profit target,$825.00,$7837.50,$0.00,$172.50,$825.00,$0.00,6,
15,MNQ SEP25,Backtest,ORB,Long,15,23080.25,23107.75,7/9/2025 9:55:00 AM,7/9/2025 10:01:00 AM,Buy,Profit target,$825.00,$8662.50,$0.00,$172.50,$825.00,$0.00,7,
16,MNQ SEP25,Backtest,ORB,Short,15,22985.75,22958.25,7/10/2025 9:55:00 AM,7/10/2025 9:59:00 AM,Sell short,Profit target,$825.00,$9487.50,$0.00,$37.50,$825.00,$0.00,5,
17,MNQ SEP25,Backtest,ORB,Short,15,22985.75,22958.25,7/16/2025 9:55:00 AM,7/16/2025 10:00:00 AM,Sell short,Profit target,$825.00,$10312.50,$0.00,$232.50,$825.00,$0.00,6,
18,MNQ SEP25,Backtest,ORB,Long,15,23206.00,23233.50,7/17/2025 11:04:00 AM,7/17/2025 11:06:00 AM,Buy,Profit target,$825.00,$11137.50,$0.00,$7.50,$825.00,$0.00,3,
19,MNQ SEP25,Backtest,ORB,Short,15,23211.00,23224.75,7/18/2025 10:29:00 AM,7/18/2025 10:46:00 AM,Sell short,Stop loss,($412.50),$10725.00,$0.00,$412.50,$630.00,$1042.50,18,
20,MNQ SEP25,Backtest,ORB,Long,15,23370.50,23398.00,7/21/2025 9:55:00 AM,7/21/2025 10:01:00 AM,Buy,Profit target,$825.00,$11550.00,$0.00,$157.50,$825.00,$0.00,7,
21,MNQ SEP25,Backtest,ORB,Short,15,23142.00,23114.50,7/22/2025 9:55:00 AM,7/22/2025 9:55:00 AM,Sell short,Profit target,$825.00,$12375.00,$0.00,$0.00,$825.00,$0.00,1,
22,MNQ SEP25,Backtest,ORB,Long,15,23467.25,23453.50,7/25/2025 12:28:00 PM,7/25/2025 12:41:00 PM,Buy,Stop loss,($412.50),$11962.50,$0.00,$412.50,$292.50,$705.00,14,
