Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Long,20,25496.50,25489.00,10/8/2025 11:27:00 AM,10/8/2025 11:29:00 AM,Long,Stop loss,($338.00),($338.00),$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$130.00,$468.00,3,
2,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Long,20,25508.50,25501.00,10/8/2025 11:52:00 AM,10/8/2025 12:02:00 PM,Long,Stop loss,($338.00),($676.00),$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$230.00,$568.00,11,
3,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Short,20,25517.50,25525.00,10/10/2025 10:59:00 AM,10/10/2025 10:59:00 AM,Short,Stop loss,($338.00),($1014.00),$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$338.00,1,
4,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Short,20,25471.50,25462.00,10/10/2025 11:00:00 AM,10/10/2025 11:00:00 AM,Short,Profit target,$342.00,($672.00),$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$380.00,$38.00,1,
5,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Short,20,24857.75,24847.50,10/14/2025 09:32:00 AM,10/14/2025 09:32:00 AM,Short,Profit target,$372.00,($300.00),$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$410.00,$38.00,1,
6,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Long,20,25426.00,25437.75,10/20/2025 09:32:00 AM,10/20/2025 09:32:00 AM,Long,Profit target,$432.00,$132.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$470.00,$38.00,1,
7,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Long,20,26100.50,26111.75,10/27/2025 09:32:00 AM,10/27/2025 09:32:00 AM,Long,Profit target,$412.00,$544.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$450.00,$38.00,1,
8,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Long,20,26322.75,26334.25,10/28/2025 09:32:00 AM,10/28/2025 09:32:00 AM,Long,Profit target,$422.00,$966.00,$38.00,$0.00,$0.00,$0.00,$0.00,$0.00,$460.00,$38.00,1,
9,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Short,20,26339.25,26346.75,10/30/2025 09:32:00 AM,10/30/2025 09:32:00 AM,Short,Stop loss,($338.00),$628.00,$38.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$338.00,1,
10,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Long,20,25822.75,25814.75,11/5/2025 09:32:00 AM,11/5/2025 09:32:00 AM,Long,Stop loss,($358.00),$270.00,$38.00,$0.00,$0.00,$0.00,$0.00,$320.00,$0.00,$358.00,1,
11,MNQ MAR26,Backtest,FluxTrade_OrderFlowStrat,Short,20,25299.75,25307.00,11/7/2025 09:32:00 AM,11/7/2025 09:32:00 AM,Short,Stop loss,($328.00),($58.00),$38.00,$0.00,$0.00,$0.00,$0.00,$290.00,$0.00,$328.00,1,
