Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ DEC25,Backtest,FluxTrade_ORMS,Long,6,23725.25,23717.75,7/28/2025 9:32:00 AM,7/28/2025 9:32:00 AM,Long Breakout,Stop loss,($100.44),($100.44),$10.44,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$100.44,1,
2,MNQ DEC25,Backtest,FluxTrade_ORMS,Long,6,23853.00,23845.50,7/29/2025 9:33:00 AM,7/29/2025 9:33:00 AM,Long Breakout,Stop loss,($100.44),($200.88),$10.44,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$100.44,1,
3,MNQ DEC25,Backtest,FluxTrade_ORMS,Short,6,23697.00,23704.50,7/30/2025 9:34:00 AM,7/30/2025 9:34:00 AM,Short Breakdown,Stop loss,($100.44),($301.32),$10.44,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$100.44,1,
4,MNQ DEC25,Backtest,FluxTrade_ORMS,Long,6,23985.00,23977.50,7/31/2025 9:31:00 AM,7/31/2025 9:31:00 AM,Long Breakout,Stop loss,($100.44),($401.76),$10.44,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$100.44,1,
5,MNQ DEC25,Backtest,FluxTrade_ORMS,Short,6,23325.50,23255.50,8/1/2025 9:31:00 AM,8/1/2025 9:34:00 AM,Short Breakdown,Profit target,$829.56,$427.80,$10.44,$0.00,$0.00,$0.00,$0.00,$87.00,$840.00,$10.44,4,
6,MNQ DEC25,Backtest,FluxTrade_ORMS,Long,6,23457.00,23449.50,8/6/2025 9:36:00 AM,8/6/2025 9:36:00 AM,Long Breakout,Stop loss,($100.44),$327.36,$10.44,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$100.44,1,
7,MNQ DEC25,Backtest,FluxTrade_ORMS,Short,6,23787.50,23795.00,8/8/2025 9:34:00 AM,8/8/2025 9:34:00 AM,Short Breakdown,Stop loss,($100.44),$226.92,$10.44,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$100.44,1,
8,MNQ DEC25,Backtest,FluxTrade_ORMS,Long,6,23976.00,23968.50,8/12/2025 9:32:00 AM,8/12/2025 9:32:00 AM,Long Breakout,Stop loss,($100.44),$126.48,$10.44,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$100.44,1,
9,MNQ DEC25,Backtest,FluxTrade_ORMS,Long,6,24281.75,24274.25,8/13/2025 9:31:00 AM,8/13/2025 9:31:00 AM,Long Breakout,Stop loss,($100.44),$26.04,$10.44,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$100.44,1,
10,MNQ DEC25,Backtest,FluxTrade_ORMS,Short,6,23992.25,23929.50,8/19/2025 9:32:00 AM,8/19/2025 9:34:00 AM,Short Breakdown,Buy to cover,$742.56,$768.60,$10.44,$0.00,$0.00,$0.00,$0.00,$33.00,$825.00,$82.44,3,
