Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25122.00,25112.00,11/24/2025 11:19:00 AM,11/24/2025 11:31:00 AM,Parabolic_Long,Stop loss,($219.00),($219.00),$19.00,$0.00,$0.00,$0.00,$0.00,$200.00,$275.00,$494.00,13,
2,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25178.50,25218.50,11/25/2025 12:06:00 PM,11/25/2025 12:20:00 PM,Parabolic_Long,Profit target,$781.00,$562.00,$19.00,$0.00,$0.00,$0.00,$0.00,$20.00,$800.00,$19.00,15,
3,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25673.50,25713.50,12/1/2025 11:44:00 AM,12/1/2025 12:07:00 PM,Parabolic_Long,Profit target,$781.00,$1343.00,$19.00,$0.00,$0.00,$0.00,$0.00,$10.00,$800.00,$19.00,24,
4,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25904.25,25894.25,12/3/2025 01:50:00 PM,12/3/2025 01:52:00 PM,Parabolic_Long,Stop loss,($219.00),$1124.00,$19.00,$0.00,$0.00,$0.00,$0.00,$200.00,$45.00,$264.00,3,
5,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25771.25,25811.25,12/23/2025 01:21:00 PM,12/23/2025 03:51:00 PM,Parabolic_Long,Profit target,$781.00,$1905.00,$19.00,$0.00,$0.00,$0.00,$0.00,$65.00,$800.00,$19.00,151,
6,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25744.50,25784.50,1/6/2026 12:33:00 PM,1/6/2026 12:40:00 PM,Parabolic_Long,Profit target,$781.00,$2686.00,$19.00,$0.00,$0.00,$0.00,$0.00,$25.00,$800.00,$19.00,8,
7,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25678.75,25678.75,1/8/2026 12:47:00 PM,1/8/2026 01:00:00 PM,Parabolic_Long,Stop loss,($19.00),$2667.00,$19.00,$0.00,$0.00,$0.00,$0.00,$105.00,$495.00,$514.00,14,
8,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25895.25,25885.25,1/9/2026 11:15:00 AM,1/9/2026 11:16:00 AM,Parabolic_Long,Stop loss,($219.00),$2448.00,$19.00,$0.00,$0.00,$0.00,$0.00,$200.00,$125.00,$344.00,2,
9,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25923.25,25913.25,1/15/2026 11:51:00 AM,1/15/2026 11:51:00 AM,Parabolic_Long,Stop loss,($219.00),$2229.00,$19.00,$0.00,$0.00,$0.00,$0.00,$200.00,$0.00,$219.00,1,
10,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25421.25,25411.25,1/20/2026 11:12:00 AM,1/20/2026 11:13:00 AM,Parabolic_Long,Stop loss,($219.00),$2010.00,$19.00,$0.00,$0.00,$0.00,$0.00,$200.00,$140.00,$359.00,2,
11,MNQ MAR26,Backtest,FluxTradeProp_ParabolicTrend,Long,10,25772.25,25812.25,1/23/2026 10:36:00 AM,1/23/2026 10:50:00 AM,Parabolic_Long,Profit target,$781.00,$2791.00,$19.00,$0.00,$0.00,$0.00,$0.00,$125.00,$800.00,$19.00,15,
