Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,23476.75,23556.75,7/21/2025 9:19:00 AM,7/21/2025 9:37:00 AM,Buy,Profit target,$633.04,$633.04,$6.96,$0.00,$0.00,$0.00,$0.00,$28.00,$640.00,$6.96,19,
2,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,23413.75,23406.25,7/22/2025 10:11:00 AM,7/22/2025 10:12:00 AM,Buy,Stop loss,($66.96),$566.08,$6.96,$0.00,$0.00,$0.00,$0.00,$60.00,$92.00,$158.96,2,
3,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,23914.50,23907.00,7/31/2025 9:54:00 AM,7/31/2025 10:00:00 AM,Buy,Stop loss,($66.96),$499.12,$6.96,$0.00,$0.00,$0.00,$0.00,$60.00,$222.00,$288.96,7,
4,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,23378.00,23370.50,8/20/2025 10:23:00 AM,8/20/2025 10:23:00 AM,Buy,Stop loss,($66.96),$432.16,$6.96,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$66.96,1,
5,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,23737.25,23729.75,8/22/2025 10:04:00 AM,8/22/2025 10:05:00 AM,Buy,Stop loss,($66.96),$365.20,$6.96,$0.00,$0.00,$0.00,$0.00,$60.00,$258.00,$324.96,2,
6,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,23794.75,23787.25,8/22/2025 10:14:00 AM,8/22/2025 10:14:00 AM,Buy,Stop loss,($66.96),$298.24,$6.96,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$66.96,1,
7,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,23811.75,23887.50,8/27/2025 12:43:00 PM,8/27/2025 2:16:00 PM,Buy,Sell,$599.04,$897.28,$6.96,$0.00,$0.00,$0.00,$0.00,$46.00,$632.00,$32.96,94,
8,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,24668.25,24743.50,9/24/2025 12:22:00 PM,9/24/2025 1:33:00 PM,Buy,Sell,$595.04,$1492.32,$6.96,$0.00,$0.00,$0.00,$0.00,$14.00,$618.00,$22.96,72,
9,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,24860.50,24853.00,10/10/2025 11:46:00 AM,10/10/2025 11:46:00 AM,Buy,Stop loss,($66.96),$1425.36,$6.96,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$66.96,1,
10,MNQ DEC25,Backtest,FluxTradeProp_Pluto,Long,4,24952.50,24945.00,10/17/2025 12:27:00 PM,10/17/2025 12:27:00 PM,Buy,Stop loss,($66.96),$1358.40,$6.96,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$66.96,1,
