Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTradeProp_ORB,Long,13,25886.75,25894.50,11/10/2025 09:47:00 AM,11/10/2025 09:48:00 AM,ORB_Long,Sell,$176.80,$176.80,$24.70,$0.00,$0.00,$0.00,$0.00,$19.50,$240.50,$63.70,2,
2,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25902.50,25910.25,11/12/2025 09:44:00 AM,11/12/2025 09:44:00 AM,ORB_Short,Stop loss,($226.20),($49.40),$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
3,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25907.75,25849.50,11/12/2025 09:45:00 AM,11/12/2025 09:48:00 AM,ORB_Short,Buy to cover,$1489.80,$1440.40,$24.70,$0.00,$0.00,$0.00,$0.00,$123.50,$1553.50,$63.70,4,
4,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25599.50,25561.50,11/13/2025 09:44:00 AM,11/13/2025 09:45:00 AM,ORB_Short,Buy to cover,$963.30,$2403.70,$24.70,$0.00,$0.00,$0.00,$0.00,$52.00,$1254.50,$291.20,2,
5,MNQ MAR26,Backtest,FluxTradeProp_ORB,Long,13,25441.75,25434.00,11/17/2025 09:47:00 AM,11/17/2025 09:47:00 AM,ORB_Long,Stop loss,($226.20),$2177.50,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
6,MNQ MAR26,Backtest,FluxTradeProp_ORB,Long,13,25453.25,25473.25,11/17/2025 09:48:00 AM,11/17/2025 09:49:00 AM,ORB_Long,Sell,$495.30,$2672.80,$24.70,$0.00,$0.00,$0.00,$0.00,$65.00,$565.50,$70.20,2,
7,MNQ MAR26,Backtest,FluxTradeProp_ORB,Long,13,24992.25,25009.75,11/19/2025 09:48:00 AM,11/19/2025 09:49:00 AM,ORB_Long,Sell,$430.30,$3103.10,$24.70,$0.00,$0.00,$0.00,$0.00,$175.50,$715.00,$284.70,2,
8,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,24977.00,24984.75,11/25/2025 09:45:00 AM,11/25/2025 09:45:00 AM,ORB_Short,Stop loss,($226.20),$2876.90,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
9,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,24982.50,24941.75,11/25/2025 09:46:00 AM,11/25/2025 09:47:00 AM,ORB_Short,Buy to cover,$1034.80,$3911.70,$24.70,$0.00,$0.00,$0.00,$0.00,$0.00,$1222.00,$187.20,2,
10,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25315.25,25323.00,12/17/2025 09:44:00 AM,12/17/2025 09:44:00 AM,ORB_Short,Stop loss,($226.20),$3685.50,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
11,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25310.25,25318.00,12/17/2025 09:45:00 AM,12/17/2025 09:45:00 AM,ORB_Short,Stop loss,($226.20),$3459.30,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
12,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25317.00,25324.75,12/17/2025 09:46:00 AM,12/17/2025 09:46:00 AM,ORB_Short,Stop loss,($226.20),$3233.10,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
13,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25300.50,25257.75,12/17/2025 09:47:00 AM,12/17/2025 09:48:00 AM,ORB_Short,Buy to cover,$1086.80,$4319.90,$24.70,$0.00,$0.00,$0.00,$0.00,$117.00,$1436.50,$349.70,2,
14,MNQ MAR26,Backtest,FluxTradeProp_ORB,Long,13,25537.00,25566.75,12/19/2025 09:48:00 AM,12/19/2025 09:49:00 AM,ORB_Long,Sell,$748.80,$5068.70,$24.70,$0.00,$0.00,$0.00,$0.00,$0.00,$942.50,$193.70,2,
15,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25594.50,25589.75,12/31/2025 09:47:00 AM,12/31/2025 09:49:00 AM,ORB_Short,Buy to cover,$98.80,$5167.50,$24.70,$0.00,$0.00,$0.00,$0.00,$136.50,$331.50,$232.70,3,
16,MNQ MAR26,Backtest,FluxTradeProp_ORB,Long,13,25843.75,25854.75,1/7/2026 09:44:00 AM,1/7/2026 09:46:00 AM,ORB_Long,Sell,$261.30,$5428.80,$24.70,$0.00,$0.00,$0.00,$0.00,$149.50,$370.50,$109.20,3,
17,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25639.00,25625.00,1/8/2026 09:44:00 AM,1/8/2026 09:45:00 AM,ORB_Short,Buy to cover,$339.30,$5768.10,$24.70,$0.00,$0.00,$0.00,$0.00,$143.00,$448.50,$109.20,2,
18,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25631.75,25639.50,1/14/2026 09:46:00 AM,1/14/2026 09:46:00 AM,ORB_Short,Stop loss,($226.20),$5541.90,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
19,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25617.00,25624.75,1/14/2026 09:47:00 AM,1/14/2026 09:47:00 AM,ORB_Short,Stop loss,($226.20),$5315.70,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
20,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25652.25,25660.00,1/14/2026 09:48:00 AM,1/14/2026 09:48:00 AM,ORB_Short,Stop loss,($226.20),$5089.50,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
21,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25246.25,25242.25,1/19/2026 09:44:00 AM,1/19/2026 09:45:00 AM,ORB_Short,Buy to cover,$79.30,$5168.80,$24.70,$0.00,$0.00,$0.00,$0.00,$84.50,$162.50,$83.20,2,
22,MNQ MAR26,Backtest,FluxTradeProp_ORB,Long,13,25802.25,25816.50,1/26/2026 09:45:00 AM,1/26/2026 09:46:00 AM,ORB_Long,Sell,$345.80,$5514.60,$24.70,$0.00,$0.00,$0.00,$0.00,$32.50,$455.00,$109.20,2,
23,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25988.00,25995.75,1/29/2026 09:44:00 AM,1/29/2026 09:44:00 AM,ORB_Short,Stop loss,($226.20),$5288.40,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
24,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25961.25,25969.00,1/29/2026 09:45:00 AM,1/29/2026 09:45:00 AM,ORB_Short,Stop loss,($226.20),$5062.20,$24.70,$0.00,$0.00,$0.00,$0.00,$201.50,$0.00,$226.20,1,
25,MNQ MAR26,Backtest,FluxTradeProp_ORB,Short,13,25951.25,25927.25,1/29/2026 09:46:00 AM,1/29/2026 09:48:00 AM,ORB_Short,Buy to cover,$599.30,$5661.50,$24.70,$0.00,$0.00,$0.00,$0.00,$130.00,$1059.50,$460.20,3,
