Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ SEP25,Backtest,QuadConfluence,Long,2,21560.50,21623.00,6/2/2025 9:33:00 AM,6/2/2025 9:34:00 AM,Long,Profit target,$2500.00,$2500.00,$0.00,$30.00,$2500.00,$0.00,2,
2,NQ SEP25,Backtest,QuadConfluence,Short,2,21467.75,21475.25,6/2/2025 10:03:00 AM,6/2/2025 10:03:00 AM,Short,Stop loss,($300.00),$2200.00,$0.00,$300.00,$0.00,$300.00,1,
3,NQ SEP25,Backtest,QuadConfluence,Short,2,21492.75,21500.25,6/2/2025 10:04:00 AM,6/2/2025 10:04:00 AM,Short,Stop loss,($300.00),$1900.00,$0.00,$300.00,$0.00,$300.00,1,
4,NQ SEP25,Backtest,QuadConfluence,Long,2,21598.50,21591.00,6/2/2025 10:37:00 AM,6/2/2025 10:39:00 AM,Long,Stop loss,($300.00),$1600.00,$0.00,$300.00,$990.00,$1290.00,3,
5,NQ SEP25,Backtest,QuadConfluence,Long,2,21755.75,21748.25,6/3/2025 9:34:00 AM,6/3/2025 9:34:00 AM,Long,Stop loss,($300.00),$1300.00,$0.00,$300.00,$0.00,$300.00,1,
6,NQ SEP25,Backtest,QuadConfluence,Long,2,21997.50,22060.00,6/6/2025 9:38:00 AM,6/6/2025 9:43:00 AM,Long,Profit target,$2500.00,$3800.00,$0.00,$0.00,$2500.00,$0.00,6,
7,NQ SEP25,Backtest,QuadConfluence,Long,2,21976.25,21968.75,6/13/2025 9:33:00 AM,6/13/2025 9:33:00 AM,Long,Stop loss,($300.00),$3500.00,$0.00,$300.00,$0.00,$300.00,1,
8,NQ SEP25,Backtest,QuadConfluence,Long,2,21975.00,21967.50,6/13/2025 9:34:00 AM,6/13/2025 9:34:00 AM,Long,Stop loss,($300.00),$3200.00,$0.00,$300.00,$0.00,$300.00,1,
9,NQ SEP25,Backtest,QuadConfluence,Long,2,21966.50,21959.00,6/13/2025 9:37:00 AM,6/13/2025 9:37:00 AM,Long,Stop loss,($300.00),$2900.00,$0.00,$300.00,$0.00,$300.00,1,
10,NQ SEP25,Backtest,QuadConfluence,Long,2,22066.50,22059.00,6/16/2025 9:34:00 AM,6/16/2025 9:36:00 AM,Long,Stop loss,($300.00),$2600.00,$0.00,$300.00,$620.00,$920.00,3,
11,NQ SEP25,Backtest,QuadConfluence,Long,2,22150.75,22150.75,6/16/2025 9:57:00 AM,6/16/2025 9:59:00 AM,Long,Stop loss,$0.00,$2600.00,$0.00,$30.00,$850.00,$850.00,3,
12,NQ SEP25,Backtest,QuadConfluence,Long,2,22094.00,22086.50,6/20/2025 9:30:00 AM,6/20/2025 9:30:00 AM,Long,Stop loss,($300.00),$2300.00,$0.00,$300.00,$0.00,$300.00,1,
13,NQ SEP25,Backtest,QuadConfluence,Long,2,22067.25,22121.00,6/20/2025 9:33:00 AM,6/20/2025 9:41:00 AM,Long,Sell,$2150.00,$4450.00,$0.00,$30.00,$2220.00,$70.00,9,
14,NQ SEP25,Backtest,QuadConfluence,Short,2,21982.50,21990.00,6/20/2025 10:10:00 AM,6/20/2025 10:10:00 AM,Short,Stop loss,($300.00),$4150.00,$0.00,$300.00,$0.00,$300.00,1,
15,NQ SEP25,Backtest,QuadConfluence,Short,2,21995.25,21995.25,6/20/2025 10:11:00 AM,6/20/2025 10:14:00 AM,Short,Stop loss,$0.00,$4150.00,$0.00,$120.00,$960.00,$960.00,4,
16,NQ SEP25,Backtest,QuadConfluence,Short,2,21980.50,21918.00,6/20/2025 10:24:00 AM,6/20/2025 10:25:00 AM,Short,Profit target,$2500.00,$6650.00,$0.00,$150.00,$2500.00,$0.00,2,
17,NQ SEP25,Backtest,QuadConfluence,Short,2,21915.00,21918.50,6/20/2025 10:26:00 AM,6/20/2025 10:28:00 AM,Short,Stop loss,($140.00),$6510.00,$0.00,$140.00,$1060.00,$1200.00,3,
18,NQ SEP25,Backtest,QuadConfluence,Short,2,21909.50,21917.00,6/20/2025 10:42:00 AM,6/20/2025 10:42:00 AM,Short,Stop loss,($300.00),$6210.00,$0.00,$300.00,$0.00,$300.00,1,
19,NQ SEP25,Backtest,QuadConfluence,Short,2,21805.75,21813.25,6/20/2025 10:56:00 AM,6/20/2025 10:56:00 AM,Short,Stop loss,($300.00),$5910.00,$0.00,$300.00,$0.00,$300.00,1,
20,NQ SEP25,Backtest,QuadConfluence,Short,2,21787.25,21794.75,6/20/2025 11:03:00 AM,6/20/2025 11:03:00 AM,Short,Stop loss,($300.00),$5610.00,$0.00,$300.00,$0.00,$300.00,1,
21,NQ SEP25,Backtest,QuadConfluence,Short,2,21790.00,21790.00,6/23/2025 9:35:00 AM,6/23/2025 9:36:00 AM,Short,Stop loss,$0.00,$5610.00,$0.00,$150.00,$1260.00,$1260.00,2,
22,NQ SEP25,Backtest,QuadConfluence,Long,2,21908.00,21900.50,6/23/2025 9:50:00 AM,6/23/2025 9:51:00 AM,Long,Stop loss,($300.00),$5310.00,$0.00,$300.00,$310.00,$610.00,2,
23,NQ SEP25,Backtest,QuadConfluence,Long,2,21947.50,21947.50,6/23/2025 10:03:00 AM,6/23/2025 10:04:00 AM,Long,Stop loss,$0.00,$5310.00,$0.00,$240.00,$470.00,$470.00,2,
24,NQ SEP25,Backtest,QuadConfluence,Long,2,21986.50,21979.00,6/23/2025 10:08:00 AM,6/23/2025 10:08:00 AM,Long,Stop loss,($300.00),$5010.00,$0.00,$300.00,$0.00,$300.00,1,
25,NQ SEP25,Backtest,QuadConfluence,Short,2,22725.75,22718.00,6/27/2025 9:35:00 AM,6/27/2025 9:36:00 AM,Short,Stop loss,$310.00,$5320.00,$0.00,$110.00,$460.00,$150.00,2,
26,NQ SEP25,Backtest,QuadConfluence,Short,2,22828.75,22835.00,6/30/2025 9:35:00 AM,6/30/2025 9:38:00 AM,Short,Stop loss,($250.00),$5070.00,$0.00,$250.00,$800.00,$1050.00,4,
27,NQ SEP25,Backtest,QuadConfluence,Short,2,22831.75,22815.50,6/30/2025 9:42:00 AM,6/30/2025 9:53:00 AM,Short,Stop loss,$650.00,$5720.00,$0.00,$260.00,$1500.00,$850.00,12,
28,NQ SEP25,Backtest,QuadConfluence,Short,2,22823.50,22831.00,6/30/2025 9:57:00 AM,6/30/2025 10:00:00 AM,Short,Stop loss,($300.00),$5420.00,$0.00,$300.00,$440.00,$740.00,4,
29,NQ SEP25,Backtest,QuadConfluence,Short,2,22705.00,22712.50,7/1/2025 10:51:00 AM,7/1/2025 10:51:00 AM,Short,Stop loss,($300.00),$5120.00,$0.00,$300.00,$0.00,$300.00,1,
30,NQ SEP25,Backtest,QuadConfluence,Short,2,22657.00,22608.50,7/1/2025 11:09:00 AM,7/1/2025 11:17:00 AM,Short,Buy to cover,$1940.00,$7060.00,$0.00,$0.00,$2500.00,$560.00,9,
31,NQ SEP25,Backtest,QuadConfluence,Long,2,22957.75,22950.25,7/7/2025 9:33:00 AM,7/7/2025 9:33:00 AM,Long,Stop loss,($300.00),$6760.00,$0.00,$300.00,$0.00,$300.00,1,
32,NQ SEP25,Backtest,QuadConfluence,Short,2,22926.75,22934.25,7/7/2025 9:36:00 AM,7/7/2025 9:36:00 AM,Short,Stop loss,($300.00),$6460.00,$0.00,$300.00,$0.00,$300.00,1,
33,NQ SEP25,Backtest,QuadConfluence,Short,2,22927.50,22935.00,7/7/2025 9:37:00 AM,7/7/2025 9:38:00 AM,Short,Stop loss,($300.00),$6160.00,$0.00,$300.00,$230.00,$530.00,2,
34,NQ SEP25,Backtest,QuadConfluence,Long,2,22941.00,22933.50,7/11/2025 9:33:00 AM,7/11/2025 9:33:00 AM,Long,Stop loss,($300.00),$5860.00,$0.00,$300.00,$0.00,$300.00,1,
