Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,24140.25,24148.50,8/14/2025 9:35:05 AM,8/14/2025 9:36:05 AM,StopHunt_Long,Sell,$221.40,$221.40,$26.10,$0.00,$0.00,$0.00,$0.00,$210.00,$307.50,$86.10,2,
2,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,24053.00,24044.25,8/18/2025 9:35:05 AM,8/18/2025 9:36:05 AM,StopHunt_Long,Sell,($288.60),($67.20),$26.10,$0.00,$0.00,$0.00,$0.00,$382.50,$75.00,$363.60,2,
3,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,23559.75,23570.50,8/22/2025 9:45:05 AM,8/22/2025 9:46:05 AM,StopHunt_Long,Sell,$296.40,$229.20,$26.10,$0.00,$0.00,$0.00,$0.00,$37.50,$442.50,$146.10,2,
4,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,23744.75,23737.25,8/25/2025 9:39:05 AM,8/25/2025 9:40:05 AM,StopHunt_Long,Sell,($251.10),($21.90),$26.10,$0.00,$0.00,$0.00,$0.00,$262.50,$105.00,$356.10,2,
5,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,23735.50,23752.50,8/26/2025 9:41:05 AM,8/26/2025 9:42:05 AM,StopHunt_Long,Sell,$483.90,$462.00,$26.10,$0.00,$0.00,$0.00,$0.00,$165.00,$600.00,$116.10,2,
6,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,23942.25,23957.75,8/28/2025 9:31:05 AM,8/28/2025 9:32:05 AM,StopHunt_Long,Sell,$438.90,$900.90,$26.10,$0.00,$0.00,$0.00,$0.00,$120.00,$877.50,$438.60,2,
7,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,23474.75,23498.50,9/2/2025 10:29:05 AM,9/2/2025 10:30:05 AM,StopHunt_Long,Sell,$686.40,$1587.30,$26.10,$0.00,$0.00,$0.00,$0.00,$90.00,$757.50,$71.10,2,
8,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,24057.50,24072.00,9/8/2025 9:35:05 AM,9/8/2025 9:37:05 AM,StopHunt_Long,Sell,$408.90,$1996.20,$26.10,$0.00,$0.00,$0.00,$0.00,$247.50,$517.50,$108.60,3,
9,MNQ DEC25,Backtest,FluxTrade_StopHunter,Short,15,24191.25,24191.25,9/10/2025 9:37:05 AM,9/10/2025 9:37:05 AM,StopHunt_Short,Stop loss,($26.10),$1970.10,$26.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$26.10,1,
10,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,24454.25,24454.25,9/15/2025 9:38:05 AM,9/15/2025 9:39:50 AM,StopHunt_Long,Stop loss,($26.10),$1944.00,$26.10,$0.00,$0.00,$0.00,$0.00,$135.00,$360.00,$386.10,2,
11,MNQ DEC25,Backtest,FluxTrade_StopHunter,Long,15,24841.00,24850.25,9/22/2025 9:32:05 AM,9/22/2025 9:33:05 AM,StopHunt_Long,Sell,$251.40,$2195.40,$26.10,$0.00,$0.00,$0.00,$0.00,$112.50,$322.50,$71.10,2,
