Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Short,37,26440.75,26425.75,10/29/2025 06:02:00 PM,10/29/2025 06:02:00 PM,TrappedBuyers,Profit target,$1110.00,$1110.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
2,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25905.00,25920.00,11/12/2025 08:07:00 PM,11/12/2025 08:08:00 PM,TrappedSellers,Profit target,$1110.00,$2220.00,$0.00,$0.00,$0.00,$0.00,$0.00,$333.00,$1110.00,$0.00,2,
3,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Short,37,24900.50,24885.50,11/14/2025 09:34:00 AM,11/14/2025 09:34:00 AM,TrappedBuyers,Profit target,$1110.00,$3330.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
4,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25115.00,25130.00,11/19/2025 04:22:00 PM,11/19/2025 04:22:00 PM,TrappedSellers,Profit target,$1110.00,$4440.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
5,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25128.75,25143.75,11/19/2025 04:23:00 PM,11/19/2025 04:23:00 PM,TrappedSellers,Profit target,$1110.00,$5550.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
6,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,24356.00,24371.00,11/21/2025 07:32:00 AM,11/21/2025 07:32:00 AM,TrappedSellers,Profit target,$1110.00,$6660.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
7,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,24749.00,24764.00,11/21/2025 01:50:00 PM,11/21/2025 01:50:00 PM,TrappedSellers,Profit target,$1110.00,$7770.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
8,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,24890.50,24905.50,11/24/2025 09:34:00 AM,11/24/2025 09:34:00 AM,TrappedSellers,Profit target,$1110.00,$8880.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
9,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Short,37,25872.50,25857.50,12/4/2025 09:35:00 AM,12/4/2025 09:35:00 AM,TrappedBuyers,Profit target,$1110.00,$9990.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
10,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25985.75,26000.75,12/5/2025 09:32:00 AM,12/5/2025 09:32:00 AM,TrappedSellers,Profit target,$1110.00,$11100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
11,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25360.50,25375.50,12/16/2025 08:33:00 AM,12/16/2025 08:33:00 AM,TrappedSellers,Profit target,$1110.00,$12210.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
12,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Short,37,25252.25,25237.25,12/18/2025 04:01:00 PM,12/18/2025 04:02:00 PM,TrappedBuyers,Profit target,$1110.00,$13320.00,$0.00,$0.00,$0.00,$0.00,$0.00,$388.50,$1110.00,$0.00,2,
13,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25719.50,25734.50,12/23/2025 09:32:00 AM,12/23/2025 09:32:00 AM,TrappedSellers,Profit target,$1110.00,$14430.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
14,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25797.50,25812.50,12/29/2025 09:38:00 AM,12/29/2025 09:38:00 AM,TrappedSellers,Profit target,$1110.00,$15540.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
15,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25825.75,25840.75,1/12/2026 09:33:00 AM,1/12/2026 09:33:00 AM,TrappedSellers,Profit target,$1110.00,$16650.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
16,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25364.00,25379.00,1/21/2026 02:29:00 PM,1/21/2026 02:29:00 PM,TrappedSellers,Profit target,$1110.00,$17760.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
17,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25407.50,25422.50,1/21/2026 02:30:00 PM,1/21/2026 02:30:00 PM,TrappedSellers,Profit target,$1110.00,$18870.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
18,MNQ MAR26,Backtest,FluxTrade_TrappedBreakout,Long,37,25429.75,25444.75,1/21/2026 02:31:00 PM,1/21/2026 02:31:00 PM,TrappedSellers,Profit target,$1110.00,$19980.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1110.00,$0.00,1,
