Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25858.25,25875.00,11/10/2025 09:40:00 AM,11/10/2025 09:44:00 AM,TrendBreakout_Long,Sell,$316.00,$316.00,$19.00,$0.00,$0.00,$0.00,$0.00,$15.00,$455.00,$139.00,5,
2,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25028.00,25058.00,11/14/2025 09:39:00 AM,11/14/2025 09:39:00 AM,TrendBreakout_Long,Profit target,$581.00,$897.00,$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$600.00,$19.00,1,
3,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25296.25,25288.75,11/17/2025 11:29:00 AM,11/17/2025 11:29:00 AM,TrendBreakout_Long,Stop loss,($169.00),$728.00,$19.00,$0.00,$0.00,$0.00,$0.00,$150.00,$0.00,$169.00,1,
4,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,24981.25,25011.25,11/19/2025 09:45:00 AM,11/19/2025 09:45:00 AM,TrendBreakout_Long,Profit target,$581.00,$1309.00,$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$600.00,$19.00,1,
5,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,24471.00,24463.50,11/21/2025 11:39:00 AM,11/21/2025 11:39:00 AM,TrendBreakout_Long,Stop loss,($169.00),$1140.00,$19.00,$0.00,$0.00,$0.00,$0.00,$150.00,$0.00,$169.00,1,
6,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25892.25,25906.00,12/10/2025 11:52:00 AM,12/10/2025 11:56:00 AM,TrendBreakout_Long,Sell,$256.00,$1396.00,$19.00,$0.00,$0.00,$0.00,$0.00,$40.00,$295.00,$39.00,5,
7,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25862.25,25854.75,12/12/2025 09:41:00 AM,12/12/2025 09:41:00 AM,TrendBreakout_Long,Stop loss,($169.00),$1227.00,$19.00,$0.00,$0.00,$0.00,$0.00,$150.00,$0.00,$169.00,1,
8,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25744.25,25758.00,12/30/2025 11:01:00 AM,12/30/2025 11:03:00 AM,TrendBreakout_Long,Sell,$256.00,$1483.00,$19.00,$0.00,$0.00,$0.00,$0.00,$100.00,$275.00,$19.00,3,
9,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25624.00,25616.50,1/5/2026 09:47:00 AM,1/5/2026 09:47:00 AM,TrendBreakout_Long,Stop loss,($169.00),$1314.00,$19.00,$0.00,$0.00,$0.00,$0.00,$150.00,$0.00,$169.00,1,
10,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25710.00,25702.50,1/6/2026 09:49:00 AM,1/6/2026 09:49:00 AM,TrendBreakout_Long,Stop loss,($169.00),$1145.00,$19.00,$0.00,$0.00,$0.00,$0.00,$150.00,$0.00,$169.00,1,
11,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25691.25,25691.25,1/6/2026 11:24:00 AM,1/6/2026 11:26:00 AM,TrendBreakout_Long,Stop loss,($19.00),$1126.00,$19.00,$0.00,$0.00,$0.00,$0.00,$35.00,$345.00,$364.00,3,
12,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25942.50,25959.50,1/7/2026 11:46:00 AM,1/7/2026 11:48:00 AM,TrendBreakout_Long,Sell,$321.00,$1447.00,$19.00,$0.00,$0.00,$0.00,$0.00,$65.00,$420.00,$99.00,3,
13,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25868.00,25893.75,1/9/2026 11:46:00 AM,1/9/2026 11:50:00 AM,TrendBreakout_Long,Sell,$496.00,$1943.00,$19.00,$0.00,$0.00,$0.00,$0.00,$25.00,$525.00,$29.00,5,
14,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25325.75,25318.25,1/19/2026 10:29:00 AM,1/19/2026 10:30:00 AM,TrendBreakout_Long,Stop loss,($169.00),$1774.00,$19.00,$0.00,$0.00,$0.00,$0.00,$150.00,$85.00,$254.00,2,
15,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25368.00,25391.25,1/19/2026 11:40:00 AM,1/19/2026 12:07:00 PM,TrendBreakout_Long,Sell,$446.00,$2220.00,$19.00,$0.00,$0.00,$0.00,$0.00,$95.00,$470.00,$24.00,28,
16,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25376.25,25403.25,1/20/2026 11:02:00 AM,1/20/2026 11:03:00 AM,TrendBreakout_Long,Sell,$521.00,$2741.00,$19.00,$0.00,$0.00,$0.00,$0.00,$50.00,$545.00,$24.00,2,
17,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25819.00,25811.50,1/23/2026 11:40:00 AM,1/23/2026 11:42:00 AM,TrendBreakout_Long,Stop loss,($169.00),$2572.00,$19.00,$0.00,$0.00,$0.00,$0.00,$150.00,$60.00,$229.00,3,
18,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,26052.25,26074.25,1/27/2026 10:32:00 AM,1/27/2026 10:36:00 AM,TrendBreakout_Long,Sell,$421.00,$2993.00,$19.00,$0.00,$0.00,$0.00,$0.00,$70.00,$475.00,$54.00,5,
19,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25701.50,25715.25,2/2/2026 09:38:00 AM,2/2/2026 09:39:00 AM,TrendBreakout_Long,Sell,$256.00,$3249.00,$19.00,$0.00,$0.00,$0.00,$0.00,$60.00,$390.00,$134.00,2,
20,MNQ MAR26,Backtest,FluxTradeProp_TrendBreakoutStrat,Long,10,25127.75,25127.75,2/4/2026 11:28:00 AM,2/4/2026 11:29:00 AM,TrendBreakout_Long,Stop loss,($19.00),$3230.00,$19.00,$0.00,$0.00,$0.00,$0.00,$40.00,$240.00,$259.00,2,
