Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25482.75,25475.25,11/13/2025 10:55:00 AM,11/13/2025 10:55:00 AM,VWAP_Long,Stop loss,($236.60),($236.60),$26.60,$0.00,$0.00,$0.00,$0.00,$210.00,$0.00,$236.60,1,
2,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25465.50,25458.00,11/13/2025 10:56:00 AM,11/13/2025 10:56:00 AM,VWAP_Long,Stop loss,($236.60),($473.20),$26.60,$0.00,$0.00,$0.00,$0.00,$210.00,$0.00,$236.60,1,
3,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25431.75,25424.25,11/20/2025 10:57:00 AM,11/20/2025 10:57:00 AM,VWAP_Long,Stop loss,($236.60),($709.80),$26.60,$0.00,$0.00,$0.00,$0.00,$210.00,$0.00,$236.60,1,
4,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25542.25,25553.00,11/27/2025 11:06:00 AM,11/27/2025 01:00:00 PM,VWAP_Long,Exit on session close,$274.40,($435.40),$26.60,$0.00,$0.00,$0.00,$0.00,$21.00,$434.00,$159.60,115,
5,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25692.75,25685.25,12/29/2025 10:52:00 AM,12/29/2025 10:52:00 AM,VWAP_Long,Stop loss,($236.60),($672.00),$26.60,$0.00,$0.00,$0.00,$0.00,$210.00,$0.00,$236.60,1,
6,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25675.75,25718.25,12/29/2025 10:53:00 AM,12/29/2025 10:59:00 AM,VWAP_Long,Sell,$1163.40,$491.40,$26.60,$0.00,$0.00,$0.00,$0.00,$21.00,$1302.00,$138.60,7,
7,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25546.25,25581.00,12/31/2025 10:58:00 AM,12/31/2025 11:22:00 AM,VWAP_Long,Sell,$946.40,$1437.80,$26.60,$0.00,$0.00,$0.00,$0.00,$70.00,$1050.00,$103.60,25,
8,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25488.50,25531.25,1/14/2026 11:00:00 AM,1/14/2026 11:06:00 AM,VWAP_Long,Sell,$1170.40,$2608.20,$26.60,$0.00,$0.00,$0.00,$0.00,$119.00,$1204.00,$33.60,7,
9,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Short,14,25649.50,25617.00,1/22/2026 10:50:00 AM,1/22/2026 10:56:00 AM,VWAP_Short,Buy to cover,$883.40,$3491.60,$26.60,$0.00,$0.00,$0.00,$0.00,$35.00,$1176.00,$292.60,7,
10,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25555.50,25548.00,1/29/2026 10:55:00 AM,1/29/2026 10:55:00 AM,VWAP_Long,Stop loss,($236.60),$3255.00,$26.60,$0.00,$0.00,$0.00,$0.00,$210.00,$0.00,$236.60,1,
11,MNQ MAR26,Backtest,FluxTradeProp_VWAPFade,Long,14,25545.50,25538.00,1/29/2026 10:56:00 AM,1/29/2026 10:56:00 AM,VWAP_Long,Stop loss,($236.60),$3018.40,$26.60,$0.00,$0.00,$0.00,$0.00,$210.00,$0.00,$236.60,1,
